timestamp,kubelet_cpu_usage,kubelet_memory_bytes,package_power,core_power,uncore_power,dram_power,node_type,packge_ratio_package
1691131487,1.0,628053.3333333334,262.49700000003213,0.0,0.0,155.81300000002375,1,1.0
1691131490,0.0,974848.0,267.0320000000065,0.0,0.0,156.39100000000326,1,1.0
1691131493,0.6666666666666666,2420736.0,360.451999999932,0.0,0.0,155.92599999997765,1,1.0
1691131496,0.0,2828970.6666666665,387.5219999999972,0.0,0.0,156.11900000000605,1,1.0
1691131499,4.666666666666667,2232320.0,415.89300000004005,0.0,0.0,156.23399999999674,1,1.0
1691131502,5.0,2599594.6666666665,424.85699999995995,0.0,0.0,157.8530000000028,1,1.0
1691131505,5.666666666666666,2725205.3333333335,414.8100000000559,0.0,0.0,155.93900000001304,1,1.0
1691131508,4.666666666666667,1817258.6666666667,423.747999999905,0.0,0.0,157.420999999973,1,1.0
1691131511,0.3333333333333333,1675264.0,335.8500000000349,0.0,0.0,154.9310000000114,1,1.0
1691131514,1.3333333333333333,2048000.0,314.7300000000396,0.0,0.0,172.52600000001257,1,1.0
1691131517,1.0,1321642.6666666667,341.7489999999525,0.0,0.0,142.19099999999162,1,1.0
1691131520,0.6666666666666666,1809066.6666666665,414.9470000000438,0.0,0.0,157.97299999999814,1,1.0
1691131523,9.0,2484906.6666666665,467.5579999999609,0.0,0.0,155.98600000000442,1,1.0
1691131526,8.666666666666668,2766165.333333333,477.1280000000261,0.0,0.0,158.75,1,1.0
1691131529,9.0,1653418.6666666665,473.7609999999986,0.0,0.0,158.42600000000675,1,1.0
1691131532,8.666666666666668,1835008.0,473.0580000000191,0.0,0.0,157.40499999999884,1,1.0
1691131535,0.3333333333333333,1591978.6666666667,343.2709999999497,0.0,0.0,156.8389999999781,1,1.0
1691131538,1.6666666666666665,1967445.3333333333,291.16700000001583,0.0,0.0,168.0,1,1.0
1691131541,0.6666666666666666,5197824.0,340.695000000007,0.0,0.0,142.18800000002375,1,1.0
1691131544,0.6666666666666666,4334933.333333333,449.3209999999963,0.0,0.0,158.16599999999744,1,1.0
1691131547,16.666666666666668,1458176.0,563.4490000000224,0.0,0.0,158.15300000002026,1,1.0
1691131550,16.333333333333336,2502656.0,571.4409999999334,0.0,0.0,159.86699999996927,1,1.0
1691131553,17.0,752298.6666666666,572.0520000000251,0.0,0.0,160.37900000001537,1,1.0
1691131556,16.333333333333336,1236992.0,570.213000000047,0.0,0.0,161.25899999999092,1,1.0
