timestamp,kubelet_cpu_usage,kubelet_memory_bytes,platform_power,node_type
1691131487,1.0,628053.3333333334,3867.0,1
1691131490,0.0,974848.0,3870.0,1
1691131493,0.6666666666666666,2420736.0,3870.0,1
1691131496,0.0,2828970.6666666665,3870.0,1
1691131499,4.666666666666667,2232320.0,3978.0,1
1691131502,5.0,2599594.6666666665,3978.0,1
1691131505,5.666666666666666,2725205.3333333335,3978.0,1
1691131508,4.666666666666667,1817258.6666666667,4029.0,1
1691131511,0.3333333333333333,1675264.0,4029.0,1
1691131514,1.3333333333333333,2048000.0,3897.0,1
1691131517,1.0,1321642.6666666667,3897.0,1
1691131520,0.6666666666666666,1809066.6666666665,3897.0,1
1691131523,9.0,2484906.6666666665,4038.0,1
1691131526,8.666666666666668,2766165.333333333,4038.0,1
1691131529,9.0,1653418.6666666665,4038.0,1
1691131532,8.666666666666668,1835008.0,4080.0,1
1691131535,0.3333333333333333,1591978.6666666667,4080.0,1
1691131538,1.6666666666666665,1967445.3333333333,4080.0,1
1691131541,0.6666666666666666,5197824.0,3846.0,1
1691131544,0.6666666666666666,4334933.333333333,3846.0,1
1691131547,16.666666666666668,1458176.0,4092.0,1
1691131550,16.333333333333336,2502656.0,4095.0,1
1691131553,17.0,752298.6666666666,4095.0,1
1691131556,16.333333333333336,1236992.0,4095.0,1
1691131559,0.6666666666666666,2120362.6666666665,4095.0,1
1691131562,1.0,2719744.0,4095.0,1
1691131565,0.6666666666666666,2968234.666666667,3876.0,1
1691131568,0.6666666666666666,2004309.3333333333,3876.0,1
1691131571,28.333333333333336,2569557.3333333335,3876.0,1
1691131574,34.0,1914197.3333333333,4293.0,1
1691131577,32.66666666666667,1630208.0,4293.0,1
1691131580,32.333333333333336,1470464.0,4293.0,1
1691131583,25.666666666666668,2374314.6666666665,4437.0,1
1691131586,1.3333333333333333,4790954.666666667,4437.0,1
1691131589,1.3333333333333333,1967445.3333333335,3855.0,1
1691131592,0.9999999999999999,3170304.0,3852.0,1
1691131595,5.0,1669802.6666666667,3852.0,1
1691131598,5.0,2691072.0,4020.0,1
1691131601,4.333333333333333,3543040.0,4023.0,1
1691131604,5.0,3492522.6666666665,4023.0,1
1691131607,0.6666666666666666,1679360.0,4029.0,1
1691131610,1.0,1944234.6666666667,4029.0,1
1691131613,1.0,2177706.6666666665,4029.0,1
1691131616,0.0,1194666.6666666667,3867.0,1
1691131619,8.666666666666666,1197397.3333333335,3867.0,1
1691131622,8.333333333333332,1904640.0,3867.0,1
1691131625,9.0,1926485.3333333333,4077.0,1
1691131628,8.0,3992234.666666667,4077.0,1
1691131631,9.333333333333332,3148458.6666666665,4089.0,1
1691131634,1.0,5436757.333333333,4089.0,1
1691131637,1.6666666666666665,15026858.666666666,4089.0,1
1691131640,1.0,1560576.0,3870.0,1
1691131643,0.6666666666666666,2573653.3333333335,3867.0,1
1691131646,16.333333333333336,3104768.0,3867.0,1
1691131649,18.0,3511637.333333333,4194.0,1
1691131652,15.666666666666666,2599594.6666666665,4194.0,1
1691131655,16.0,3170304.0,4194.0,1
1691131658,1.3333333333333333,1916928.0000000002,4194.0,1
1691131661,0.6666666666666666,3163477.3333333335,4194.0,1
1691131664,1.0,2633728.0,4194.0,1
1691131667,0.3333333333333333,2975061.3333333335,3894.0,1
1691131670,32.333333333333336,3747840.0,3894.0,1
1691131673,35.0,3088384.0,4443.0,1
1691131676,31.0,2162688.0,4446.0,1
1691131679,34.33333333333333,2905429.3333333335,4446.0,1
1691131682,0.6666666666666666,2852181.333333333,4443.0,1
1691131685,1.3333333333333333,2585941.3333333335,4443.0,1
1691131688,0.6666666666666666,8302592.0,4242.0,1
1691131691,1.0,8855552.0,3909.0,1
1691131694,5.0,9311573.333333334,3909.0,1
1691131697,4.666666666666667,2076672.0,4026.0,1
1691131700,4.666666666666667,1579690.6666666667,4026.0,1
1691131703,5.333333333333333,1708032.0,4026.0,1
1691131706,0.3333333333333333,1721685.3333333333,4011.0,1
1691131709,1.3333333333333333,1208320.0,4011.0,1
1691131712,1.6666666666666665,1508693.3333333333,4011.0,1
1691131715,0.3333333333333333,1672533.3333333333,3957.0,1
1691131718,9.666666666666668,1500501.3333333333,3957.0,1
1691131721,8.0,1544192.0,3957.0,1
1691131724,8.666666666666668,1320277.3333333333,4089.0,1
1691131727,8.333333333333334,965290.6666666667,4089.0,1
1691131730,0.6666666666666666,1735338.6666666667,4029.0,1
1691131733,1.3333333333333333,1190570.6666666667,4029.0,1
1691131736,0.3333333333333333,928426.6666666666,4029.0,1
1691131739,0.6666666666666666,2513578.6666666665,3969.0,1
1691131742,17.0,3923968.0,3969.0,1
1691131745,16.333333333333336,1643861.3333333335,3969.0,1
1691131748,16.0,1045845.3333333334,4188.0,1
1691131751,17.0,1657514.6666666667,4188.0,1
1691131754,1.3333333333333333,2157226.6666666665,4188.0,1
1691131757,1.3333333333333333,1429504.0,4170.0,1
1691131760,1.0,1041749.3333333334,4170.0,1
1691131763,0.0,1291605.3333333335,4017.0,1
1691131766,31.0,2768896.0,3969.0,1
1691131769,31.333333333333332,2766165.3333333335,3969.0,1
1691131772,32.66666666666667,7622655.999999999,4434.0,1
1691131775,34.666666666666664,2222762.666666667,4434.0,1
1691131778,27.333333333333332,2476714.6666666665,4434.0,1
1691131781,1.3333333333333333,3338240.0000000005,4434.0,1
1691131784,1.3333333333333333,2809856.0,4434.0,1
1691131787,1.0,2630997.3333333335,4434.0,1
1691131790,0.6666666666666666,2019328.0,3939.0,1
1691131793,4.333333333333334,1462272.0,3939.0,1
1691131796,4.333333333333333,1833642.6666666665,4035.0,1
1691131799,4.666666666666667,2721109.3333333335,4035.0,1
1691131802,5.333333333333333,5036714.666666666,4035.0,1
1691131805,0.6666666666666666,3046058.6666666665,4023.0,1
1691131808,1.0,2404352.0,4023.0,1
1691131811,1.3333333333333333,2247338.6666666665,3927.0,1
1691131814,0.3333333333333333,2449408.0,3924.0,1
1691131817,8.666666666666668,2079402.6666666667,3924.0,1
1691131820,8.666666666666668,2071210.6666666667,4077.0,1
1691131823,8.666666666666668,1929216.0,4077.0,1
1691131826,9.666666666666666,2049365.3333333335,4077.0,1
1691131829,0.0,2734762.6666666665,4086.0,1
1691131832,1.6666666666666665,2816682.6666666665,4086.0,1
1691131835,0.6666666666666666,2803029.333333333,3939.0,1
