,Unnamed: 0,model_name,model_class,model_file,features,fe_files,output_type,mae,mape,platform_mae,platform_mape,trainer,node_type,feature_group
1456,1128,ExponentialRegressionTrainer_44,curvefit,ExponentialRegressionTrainer_44.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],AbsPower,11.14,14.41,11.14,14.41,ExponentialRegressionTrainer,44,BPFOnly
1457,2703,LogarithmicRegressionTrainer_132,curvefit,LogarithmicRegressionTrainer_132.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],AbsPower,11.15,8.49,11.15,8.49,LogarithmicRegressionTrainer,132,BPFOnly
1458,261,ExponentialRegressionTrainer_227,curvefit,ExponentialRegressionTrainer_227.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],AbsPower,11.16,7.15,11.16,7.15,ExponentialRegressionTrainer,227,BPFOnly
1459,1895,LinearRegressionTrainer_181,scikit,LinearRegressionTrainer_181.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],AbsPower,11.17,5.5,11.17,5.5,LinearRegressionTrainer,181,BPFOnly
1460,2067,LogisticRegressionTrainer_266,curvefit,LogisticRegressionTrainer_266.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],AbsPower,11.17,7.22,11.17,7.22,LogisticRegressionTrainer,266,BPFOnly
1461,3109,SGDRegressorTrainer_152,scikit,SGDRegressorTrainer_152.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],AbsPower,11.18,18.69,11.18,18.69,SGDRegressorTrainer,152,BPFOnly
1462,1716,KNeighborsRegressorTrainer_86,scikit,KNeighborsRegressorTrainer_86.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],AbsPower,11.19,7.12,11.19,7.12,KNeighborsRegressorTrainer,86,BPFOnly
1463,3154,PolynomialRegressionTrainer_250,scikit,PolynomialRegressionTrainer_250.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",['poly_scaler.pkl'],AbsPower,11.19,3.82,11.19,3.82,PolynomialRegressionTrainer,250,BPFOnly
1464,611,PolynomialRegressionTrainer_266,scikit,PolynomialRegressionTrainer_266.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",['poly_scaler.pkl'],AbsPower,11.2,5.96,11.2,5.96,PolynomialRegressionTrainer,266,BPFOnly
1465,560,PolynomialRegressionTrainer_38,scikit,PolynomialRegressionTrainer_38.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",['poly_scaler.pkl'],AbsPower,11.21,1.86,11.21,1.86,PolynomialRegressionTrainer,38,BPFOnly
1466,1897,KNeighborsRegressorTrainer_52,scikit,KNeighborsRegressorTrainer_52.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],AbsPower,11.22,8.88,11.22,8.88,KNeighborsRegressorTrainer,52,BPFOnly
1467,1261,SGDRegressorTrainer_106,scikit,SGDRegressorTrainer_106.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],AbsPower,11.24,7.19,11.24,7.19,SGDRegressorTrainer,106,BPFOnly
1468,2152,KNeighborsRegressorTrainer_105,scikit,KNeighborsRegressorTrainer_105.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],AbsPower,11.25,7.78,11.25,7.78,KNeighborsRegressorTrainer,105,BPFOnly
1469,85,LogarithmicRegressionTrainer_105,curvefit,LogarithmicRegressionTrainer_105.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],AbsPower,11.27,7.13,11.27,7.13,LogarithmicRegressionTrainer,105,BPFOnly
1470,279,PolynomialRegressionTrainer_14,scikit,PolynomialRegressionTrainer_14.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",['poly_scaler.pkl'],AbsPower,11.27,3.05,11.27,3.05,PolynomialRegressionTrainer,14,BPFOnly
1471,1472,LogisticRegressionTrainer_278,curvefit,LogisticRegressionTrainer_278.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],AbsPower,11.28,6.02,11.28,6.02,LogisticRegressionTrainer,278,BPFOnly
1472,1797,SGDRegressorTrainer_283,scikit,SGDRegressorTrainer_283.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],AbsPower,11.28,8.68,11.28,8.68,SGDRegressorTrainer,283,BPFOnly
1474,2704,KNeighborsRegressorTrainer_201,scikit,KNeighborsRegressorTrainer_201.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],AbsPower,11.3,5.54,11.3,5.54,KNeighborsRegressorTrainer,201,BPFOnly
1475,108,LogisticRegressionTrainer_2,curvefit,LogisticRegressionTrainer_2.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],AbsPower,11.31,3.1,11.31,3.1,LogisticRegressionTrainer,2,BPFOnly
1476,2045,PolynomialRegressionTrainer_190,scikit,PolynomialRegressionTrainer_190.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",['poly_scaler.pkl'],AbsPower,11.31,15.19,11.31,15.19,PolynomialRegressionTrainer,190,BPFOnly
1477,1480,SVRRegressorTrainer_34,scikit,SVRRegressorTrainer_34.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],AbsPower,11.33,11.9,11.33,11.9,SVRRegressorTrainer,34,BPFOnly
1478,2122,SGDRegressorTrainer_126,scikit,SGDRegressorTrainer_126.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],AbsPower,11.35,7.86,11.35,7.86,SGDRegressorTrainer,126,BPFOnly
