,Unnamed: 0,model_name,model_class,model_file,features,fe_files,output_type,mae,mape,platform_mae,platform_mape,trainer,node_type,feature_group
419,2304,KNeighborsRegressorTrainer_264,scikit,KNeighborsRegressorTrainer_264.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.35,9.83,2.35,9.83,KNeighborsRegressorTrainer,264,BPFOnly
420,999,LinearRegressionTrainer_45,scikit,LinearRegressionTrainer_45.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.36,1.62,2.36,1.62,LinearRegressionTrainer,45,BPFOnly
421,1601,LogisticRegressionTrainer_300,curvefit,LogisticRegressionTrainer_300.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.36,7.75,2.36,7.75,LogisticRegressionTrainer,300,BPFOnly
422,2398,SGDRegressorTrainer_208,scikit,SGDRegressorTrainer_208.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.36,5.03,2.36,5.03,SGDRegressorTrainer,208,BPFOnly
423,203,SGDRegressorTrainer_48,scikit,SGDRegressorTrainer_48.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.37,5.26,2.37,5.26,SGDRegressorTrainer,48,BPFOnly
424,2689,XgboostFitTrainer_58,xgboost,XgboostFitTrainer_58.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.38,34.91,2.38,34.91,XgboostFitTrainer,58,BPFOnly
425,428,SGDRegressorTrainer_207,scikit,SGDRegressorTrainer_207.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.39,4.53,2.39,4.53,SGDRegressorTrainer,207,BPFOnly
426,2277,LinearRegressionTrainer_186,scikit,LinearRegressionTrainer_186.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.39,2.21,2.39,2.21,LinearRegressionTrainer,186,BPFOnly
427,443,LogarithmicRegressionTrainer_275,curvefit,LogarithmicRegressionTrainer_275.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.41,11.19,2.41,11.19,LogarithmicRegressionTrainer,275,BPFOnly
428,1295,XgboostFitTrainer_22,xgboost,XgboostFitTrainer_22.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.41,5.74,2.41,5.74,XgboostFitTrainer,22,BPFOnly
