,timestamp,packge_ratio_package,cache_miss,cpu_cycles,cpu_instructions,package_power,core_power,uncore_power,dram_power,node_type,id
0,1695115663,1.0,5969546.0,3804367031.6666665,1884790068.0,44.230000004172325,0.0,0.0,31.74499999731779,1.0,all containers
1,1695115666,1.0,1996588.6666666667,2446964917.0,1512951755.3333333,26.02300000190735,0.0,0.0,30.90600000321865,1.0,all containers
2,1695115669,1.0,1103198.0,1300796271.3333335,847845485.3333334,10.190000001341105,0.0,0.0,9.368000000715256,1.0,all containers
3,1695115672,1.0,296358.6666666666,342891360.6666666,341284767.0,2.5230000019073486,0.0,0.0,4.103000000119209,1.0,all containers
4,1695115675,1.0,404573.6666666666,389445167.6666667,309396183.0,1.185000006109476,0.0,0.0,0.397000003606081,1.0,all containers
5,1695115678,1.0,396123.6666666666,426130145.3333333,315579503.6666666,1.5520000010728836,0.0,0.0,0.13900000229477882,1.0,all containers
6,1695115681,1.0,276052.0,421541438.6666666,238079884.6666667,0.3620000034570694,0.0,0.0,0.0,1.0,all containers
7,1695115684,1.0,451952.6666666667,405512830.6666666,307691642.6666667,3.34400000423193,0.0,0.0,4.067999999970198,1.0,all containers
8,1695115687,1.0,318333.3333333334,383995192.3333333,294851591.6666666,0.19300000369548798,0.0,0.0,3.725290298461914e-09,1.0,all containers
9,1695115690,1.0,342483.0,306408333.3333334,301681142.3333334,1.2129999995231628,0.0,0.0,0.0,1.0,all containers
10,1695115693,1.0,329302.6666666666,327796681.6666667,233332453.6666667,2.4700000062584877,0.0,0.0,3.804000001400709,1.0,all containers
11,1695115696,1.0,562294.6666666666,435231860.3333333,413757810.6666666,4.583999998867512,0.0,0.0,2.890999998897314,1.0,all containers
12,1695115699,1.0,438110.3333333333,318192214.0,337389224.3333333,1.7350000068545341,0.0,0.0,0.36400000378489494,1.0,all containers
13,1695115702,1.0,382480.3333333333,215277130.6666667,197601519.0,3.046000000089407,0.0,0.0,4.117000002413988,1.0,all containers
14,1695115705,1.0,397472.0,244268810.0,205464362.66666666,0.9010000042617321,0.0,0.0,0.0,1.0,all containers
15,1695115708,1.0,909230.3333333333,469432684.6666667,537830255.6666667,12.856000002473593,0.0,0.0,12.544000003486872,1.0,all containers
16,1695115711,1.0,443202.0,20202990348.0,8693124378.333334,121.29000000283122,0.0,0.0,31.849999997764826,1.0,all containers
17,1695115714,1.0,347473.3333333334,20054071326.333332,9205192219.0,127.41500000655651,0.0,0.0,33.9480000063777,1.0,all containers
18,1695115717,1.0,360411.0,19890361811.333332,9117664189.666668,121.85700000077486,0.0,0.0,30.547999996691942,1.0,all containers
19,1695115720,1.0,452865.3333333333,19600313023.666668,9692267309.666668,126.56800000369549,0.0,0.0,33.49500000104308,1.0,all containers
20,1695115723,1.0,442881.0,19063326184.0,9313630889.666668,125.50400000065565,0.0,0.0,31.86100000143051,1.0,all containers
21,1695115726,1.0,420896.6666666667,19836375756.666668,8631225639.0,126.30800000578165,0.0,0.0,33.506999999284744,1.0,all containers
22,1695115729,1.0,445277.0,19885597072.666668,9102356968.333334,123.1600000038743,0.0,0.0,30.63400000706315,1.0,all containers
23,1695115732,1.0,264917.0,20910288483.666668,8986883773.333332,125.22199999913573,0.0,0.0,33.355000000447035,1.0,all containers
24,1695115735,1.0,407979.0,21329137512.666668,9027986362.333332,124.5050000064075,0.0,0.0,31.863000001758337,1.0,all containers
25,1695115738,1.0,287931.3333333333,20107589749.333332,9521619717.0,125.5460000038147,0.0,0.0,32.62199999764562,1.0,all containers
26,1695115741,1.0,569743.3333333334,1761530336.3333335,796690648.3333333,8.068999998271465,0.0,0.0,8.09800000488758,1.0,all containers
27,1695115744,1.0,409453.6666666667,350419649.0,291965685.3333334,1.9650000035762787,0.0,0.0,0.0,1.0,all containers
28,1695115747,1.0,460708.3333333334,329998973.0,305784097.6666666,1.7050000056624413,0.0,0.0,0.0,1.0,all containers
29,1695115750,1.0,430622.0,247654222.0,290698291.0,2.146000001579523,0.0,0.0,0.03700000420212746,1.0,all containers
30,1695115753,1.0,807825.3333333334,582947119.3333334,396993113.3333334,9.676000002771616,0.0,0.0,7.607999999076128,1.0,all containers
31,1695115756,1.0,548977.3333333334,21426069324.0,11116971478.0,140.22100000455976,0.0,0.0,33.458000004291534,1.0,all containers
32,1695115759,1.0,314549.6666666666,21872147713.666668,11105983433.0,141.88100000470877,0.0,0.0,30.66499999910593,1.0,all containers
33,1695115762,1.0,281500.0,21719372371.333336,11122286307.0,145.58000000193715,0.0,0.0,32.92100000008941,1.0,all containers
34,1695115765,1.0,478080.3333333334,22314142677.0,11201510346.333332,143.3940000012517,0.0,0.0,31.192999999970198,1.0,all containers
35,1695115768,1.0,352136.6666666666,22128431119.666668,11512983208.666666,147.47200000286102,0.0,0.0,33.28100000321865,1.0,all containers
36,1695115771,1.0,367428.6666666666,23858786370.666668,11810687156.333332,144.30200000479817,0.0,0.0,30.771000001579523,1.0,all containers
37,1695115774,1.0,404238.3333333334,23838385428.333336,11704760499.666666,146.58600000292063,0.0,0.0,33.011000003665686,1.0,all containers
38,1695115777,1.0,473446.0,23053105619.333332,11441193370.0,145.51400000229478,0.0,0.0,32.3179999999702,1.0,all containers
39,1695115780,1.0,508014.3333333333,22628464991.333332,10914393216.333334,146.65600000321865,0.0,0.0,32.51899999752641,1.0,all containers
40,1695115783,1.0,352760.6666666666,22457359417.666664,11240958080.0,145.6460000053048,0.0,0.0,31.85700000450015,1.0,all containers
41,1695115786,1.0,649610.0,2176136842.0,1647598859.3333335,13.412000000476837,0.0,0.0,5.271999999880791,1.0,all containers
42,1695115789,1.0,850608.0,504024786.3333333,522018499.3333333,5.0530000030994415,0.0,0.0,4.745000001043081,1.0,all containers
43,1695115792,1.0,339486.3333333334,330233904.0,301100894.6666667,1.3200000040233135,0.0,0.0,0.0,1.0,all containers
44,1695115795,1.0,254133.0,363637223.6666666,242832212.0,0.4389999993145466,0.0,0.0,3.725290298461914e-09,1.0,all containers
