timestamp,bpf_cpu_time_us,package_power,core_power,uncore_power,dram_power,node_type,packge_ratio_package
1695120277,10921.0,112.66566666712363,0.0,0.0,58.250666665534176,1,1.0
1695120280,560.6666666666666,33.67733333259821,0.0,0.0,39.88433333362142,1,1.0
1695120283,511.66666666666663,31.300333333512146,0.0,0.0,38.03900000080466,1,1.0
1695120286,659.0,32.36233333249887,0.0,0.0,38.0389999995629,1,1.0
1695120289,455.0,31.98133333399892,0.0,0.0,38.37766666710377,1,1.0
1695120292,520.3333333333333,74.25299999987085,0.0,0.0,54.83233333254854,1,1.0
1695120295,22646.333333333332,145.20133333280683,0.0,0.0,69.24933333322406,1,1.0
1695120298,22704.0,147.60033333425721,0.0,0.0,70.45866666734219,1,1.0
1695120301,22639.0,144.68133333325386,0.0,0.0,69.03466666614015,1,1.0
1695120304,22738.333333333332,149.68766666576266,0.0,0.0,71.72900000090401,1,1.0
1695120307,22664.333333333336,144.15733333304524,0.0,0.0,68.84666666636865,1,1.0
1695120310,22723.0,147.96866666773954,0.0,0.0,70.60999999940395,1,1.0
1695120313,22704.666666666668,145.69399999951324,0.0,0.0,69.64766666665673,1,1.0
1695120316,22655.0,148.76200000072518,0.0,0.0,70.96266666675608,1,1.0
1695120319,22658.666666666668,145.07099999984106,0.0,0.0,69.14699999988079,1,1.0
1695120322,19223.0,127.98999999960263,0.0,0.0,63.50099999954303,1,1.0
1695120325,536.6666666666667,33.409999998907246,0.0,0.0,39.632333333293595,1,1.0
1695120328,542.6666666666667,32.82833333437642,0.0,0.0,38.48733333374063,1,1.0
1695120331,516.0,31.24100000038743,0.0,0.0,38.03900000080466,1,1.0
1695120334,524.6666666666667,32.85799999907613,0.0,0.0,39.78066666672627,1,1.0
1695120337,569.6666666666666,55.04800000041723,0.0,0.0,48.58833333353201,1,1.0
1695120340,27378.0,150.67000000054637,0.0,0.0,75.19399999827147,1,1.0
1695120343,27928.0,139.20066666603088,0.0,0.0,69.5470000008742,1,1.0
