timestamp,bpf_block_irq,bpf_net_rx_irq,bpf_net_tx_irq,cache_miss,cpu_cycles,cpu_instructions,package_power,core_power,uncore_power,dram_power,node_type,packge_ratio_package
1695115663,0.6666666666666666,1936.3333333333333,0.3333333333333333,5969546.0,3804367031.6666665,1884790068.0,137.0410000011325,0.0,0.0,145.8619999960065,1,1.0
1695115666,0.3333333333333333,1723.0,0.0,1996588.6666666667,2446964917.0,1512951755.3333333,118.83399999886751,0.0,0.0,145.02300000190735,1,1.0
1695115669,0.6666666666666666,626.6666666666667,0.6666666666666666,1103198.0,1300796271.3333335,847845485.3333334,103.00099999830127,0.0,0.0,123.48499999940395,1,1.0
1695115672,0.3333333333333333,228.66666666666669,0.3333333333333333,296358.6666666666,342891360.6666666,341284767.0,95.33399999886751,0.0,0.0,118.2199999988079,1,1.0
1695115675,0.6666666666666666,208.66666666666669,0.0,404573.6666666666,389445167.6666667,309396183.0,93.99600000306964,0.0,0.0,114.51400000229478,1,1.0
1695115678,0.3333333333333333,231.33333333333334,0.0,396123.6666666666,426130145.3333333,315579503.6666666,94.36299999803305,0.0,0.0,114.25600000098348,1,1.0
1695115681,0.6666666666666666,172.66666666666669,0.0,276052.0,421541438.6666666,238079884.6666667,93.17300000041723,0.0,0.0,114.1169999986887,1,1.0
1695115684,0.3333333333333333,246.66666666666669,0.3333333333333333,451952.6666666667,405512830.6666666,307691642.6666667,96.1550000011921,0.0,0.0,118.1849999986589,1,1.0
1695115687,0.6666666666666666,174.66666666666666,0.0,318333.3333333334,383995192.3333333,294851591.6666666,93.00400000065565,0.0,0.0,114.11700000241399,1,1.0
1695115690,0.3333333333333333,236.66666666666666,0.0,342483.0,306408333.3333334,301681142.3333334,94.02399999648333,0.0,0.0,114.1169999986887,1,1.0
1695115693,0.6666666666666666,249.0,0.3333333333333333,329302.6666666666,327796681.6666667,233332453.6666667,95.28100000321865,0.0,0.0,117.9210000000894,1,1.0
1695115696,0.3333333333333333,311.3333333333333,1.0,562294.6666666666,435231860.3333333,413757810.6666666,97.39499999582767,0.0,0.0,117.00799999758601,1,1.0
1695115699,0.6666666666666666,283.0,0.3333333333333333,438110.3333333333,318192214.0,337389224.3333333,94.5460000038147,0.0,0.0,114.48100000247359,1,1.0
1695115702,0.3333333333333333,211.66666666666669,0.6666666666666666,382480.3333333333,215277130.6666667,197601519.0,95.85699999704957,0.0,0.0,118.23400000110269,1,1.0
1695115705,0.6666666666666666,214.66666666666669,0.0,397472.0,244268810.0,205464362.66666666,93.7120000012219,0.0,0.0,114.1169999986887,1,1.0
1695115708,0.3333333333333333,391.6666666666667,0.6666666666666666,909230.3333333333,469432684.6666667,537830255.6666667,105.66699999943376,0.0,0.0,126.66100000217557,1,1.0
1695115711,0.6666666666666666,160.66666666666669,0.0,443202.0,20202990348.0,8693124378.333334,214.10099999979138,0.0,0.0,145.96699999645352,1,1.0
1695115714,0.3333333333333333,271.3333333333333,0.6666666666666666,347473.3333333334,20054071326.333332,9205192219.0,220.22600000351667,0.0,0.0,148.0650000050664,1,1.0
1695115717,0.6666666666666666,197.0,0.0,360411.0,19890361811.333332,9117664189.666668,214.66799999773502,0.0,0.0,144.66499999538064,1,1.0
1695115720,0.3333333333333333,244.33333333333334,0.6666666666666666,452865.3333333333,19600313023.666668,9692267309.666668,219.37900000065565,0.0,0.0,147.61199999973178,1,1.0
1695115723,0.6666666666666666,231.33333333333334,0.3333333333333333,442881.0,19063326184.0,9313630889.666668,218.3149999976158,0.0,0.0,145.9780000001192,1,1.0
1695115726,0.3333333333333333,272.0,0.0,420896.6666666667,19836375756.666668,8631225639.0,219.1190000027418,0.0,0.0,147.62399999797344,1,1.0
1695115729,0.6666666666666666,213.66666666666666,0.3333333333333333,445277.0,19885597072.666668,9102356968.333334,215.97100000083447,0.0,0.0,144.75100000575185,1,1.0
1695115732,0.3333333333333333,199.33333333333334,0.0,264917.0,20910288483.666668,8986883773.333332,218.0329999960959,0.0,0.0,147.47199999913573,1,1.0
1695115735,0.6666666666666666,244.66666666666666,0.3333333333333333,407979.0,21329137512.666668,9027986362.333332,217.31600000336766,0.0,0.0,145.98000000044703,1,1.0
1695115738,0.3333333333333333,184.66666666666669,0.3333333333333333,287931.3333333333,20107589749.333332,9521619717.0,218.35700000077486,0.0,0.0,146.73899999633431,1,1.0
1695115741,0.6666666666666666,270.3333333333333,1.0,569743.3333333334,1761530336.3333335,796690648.3333333,100.87999999523163,0.0,0.0,122.21500000357628,1,1.0
1695115744,0.3333333333333333,347.6666666666667,0.6666666666666666,409453.6666666667,350419649.0,291965685.3333334,94.77600000053644,0.0,0.0,114.1169999986887,1,1.0
1695115747,0.6666666666666666,215.33333333333334,0.0,460708.3333333334,329998973.0,305784097.6666666,94.5160000026226,0.0,0.0,114.1169999986887,1,1.0
1695115750,0.3333333333333333,201.0,0.3333333333333333,430622.0,247654222.0,290698291.0,94.95699999853969,0.0,0.0,114.15400000289083,1,1.0
1695115753,0.6666666666666666,365.66666666666663,0.0,807825.3333333334,582947119.3333334,396993113.3333334,102.48699999973178,0.0,0.0,121.72499999776483,1,1.0
1695115756,0.3333333333333333,292.0,0.0,548977.3333333334,21426069324.0,11116971478.0,233.03200000151992,0.0,0.0,147.57500000298023,1,1.0
1695115759,0.6666666666666666,212.66666666666669,0.6666666666666666,314549.6666666666,21872147713.666668,11105983433.0,234.69200000166893,0.0,0.0,144.78199999779463,1,1.0
