timestamp,bpf_cpu_time_us,platform_power,node_type
1695115663,1321.0,570.0,1
1695115666,1139.6666666666667,546.0,1
1695115669,722.0,513.0,1
1695115672,487.6666666666667,513.0,1
1695115675,477.3333333333333,513.0,1
1695115678,528.0,513.0,1
1695115681,496.6666666666667,513.0,1
1695115684,489.66666666666663,513.0,1
1695115687,522.3333333333333,513.0,1
1695115690,498.33333333333337,513.0,1
1695115693,500.0,513.0,1
1695115696,519.6666666666667,513.0,1
1695115699,538.3333333333334,513.0,1
1695115702,540.3333333333334,513.0,1
1695115705,505.33333333333337,513.0,1
1695115708,568.0,540.0,1
1695115711,1481.3333333333333,663.0,1
1695115714,1488.6666666666665,657.0,1
1695115717,1507.0,657.0,1
1695115720,1448.0,666.0,1
1695115723,1524.6666666666665,660.0,1
1695115726,1477.0,669.0,1
1695115729,1531.0,657.0,1
1695115732,1471.3333333333333,669.0,1
1695115735,1488.6666666666665,660.0,1
1695115738,1505.0,660.0,1
1695115741,581.6666666666667,513.0,1
1695115744,485.0,513.0,1
1695115747,519.3333333333334,513.0,1
1695115750,514.3333333333334,513.0,1
1695115753,568.6666666666667,522.0,1
1695115756,2336.666666666667,690.0,1
1695115759,2453.666666666667,687.0,1
1695115762,2396.3333333333335,681.0,1
1695115765,2439.666666666667,678.0,1
1695115768,2433.3333333333335,681.0,1
1695115771,2484.0,690.0,1
1695115774,2448.6666666666665,681.0,1
1695115777,2424.3333333333335,681.0,1
1695115780,2476.0,687.0,1
1695115783,2448.6666666666665,687.0,1
1695115786,679.0,513.0,1
1695115789,642.0,513.0,1
1695115792,518.0,513.0,1
1695115795,489.0,513.0,1
1695115798,576.6666666666666,519.0,1
1695115801,4014.666666666667,636.0,1
1695115804,4279.666666666667,636.0,1
1695115807,4373.666666666667,636.0,1
1695115810,4284.333333333333,633.0,1
1695115813,4283.666666666667,639.0,1
1695115816,4294.666666666666,636.0,1
1695115819,4348.333333333334,633.0,1
1695115822,4345.666666666667,639.0,1
1695115825,4258.0,630.0,1
1695115828,4312.0,636.0,1
1695115831,884.0,531.0,1
1695115834,495.0,513.0,1
1695115837,538.6666666666666,513.0,1
1695115840,516.3333333333334,513.0,1
1695115843,613.3333333333334,525.0,1
1695115846,7101.333333333334,654.0,1
1695115849,8059.333333333333,654.0,1
1695115852,8057.333333333334,657.0,1
1695115855,8022.333333333333,660.0,1
1695115858,8080.333333333333,663.0,1
1695115861,8066.999999999999,654.0,1
1695115864,8023.666666666667,657.0,1
1695115867,8073.0,660.0,1
1695115870,8041.666666666667,657.0,1
1695115873,8061.333333333334,660.0,1
1695115876,1762.6666666666667,513.0,1
1695115879,492.0,519.0,1
1695115882,516.3333333333334,513.0,1
1695115885,535.3333333333333,513.0,1
1695115888,588.0,528.0,1
1695115891,11206.0,705.0,1
1695115894,14555.666666666666,696.0,1
1695115897,14615.666666666666,696.0,1
1695115900,14606.666666666666,693.0,1
1695115903,14634.666666666668,702.0,1
1695115906,14565.333333333332,699.0,1
1695115909,14595.333333333332,699.0,1
1695115912,14587.0,696.0,1
1695115915,14548.666666666666,696.0,1
1695115918,14571.0,696.0,1
1695115921,4287.333333333334,522.0,1
1695115924,510.0,513.0,1
1695115927,522.3333333333334,513.0,1
1695115930,531.0,513.0,1
1695115933,515.6666666666667,513.0,1
1695115936,15872.666666666666,708.0,1
1695115939,23046.666666666668,714.0,1
1695115942,23004.999999999996,720.0,1
1695115945,22955.333333333332,711.0,1
1695115948,23003.666666666668,714.0,1
1695115951,23010.333333333332,720.0,1
1695115954,22959.333333333336,714.0,1
1695115957,22994.666666666668,711.0,1
1695115960,22997.666666666668,717.0,1
1695115963,23040.0,711.0,1
1695115966,8170.0,513.0,1
1695115969,521.3333333333333,513.0,1
1695115972,519.3333333333334,513.0,1
1695115975,510.33333333333337,513.0,1
1695115978,517.0,513.0,1
1695115981,353.3333333333333,717.0,1
1695115984,28672.666666666668,717.0,1
1695115987,28609.666666666668,720.0,1
1695115990,28581.666666666668,723.0,1
1695115993,28509.333333333332,723.0,1
