,timestamp,bpf_block_irq,bpf_net_rx_irq,bpf_net_tx_irq,cache_miss,cpu_cycles,cpu_instructions,platform_power,node_type,id
0,1695115663,0.6666666666666666,1936.3333333333333,0.3333333333333333,5969546.0,3804367031.6666665,1884790068.0,19.0,1.0,all containers
1,1695115666,0.3333333333333333,1723.0,0.0,1996588.6666666667,2446964917.0,1512951755.3333333,11.0,1.0,all containers
2,1695115669,0.6666666666666666,626.6666666666667,0.6666666666666666,1103198.0,1300796271.3333335,847845485.3333334,0.0,1.0,all containers
3,1695115672,0.3333333333333333,228.66666666666669,0.3333333333333333,296358.6666666666,342891360.6666666,341284767.0,0.0,1.0,all containers
4,1695115675,0.6666666666666666,208.66666666666669,0.0,404573.6666666666,389445167.6666667,309396183.0,0.0,1.0,all containers
5,1695115678,0.3333333333333333,231.33333333333334,0.0,396123.6666666666,426130145.3333333,315579503.6666666,0.0,1.0,all containers
6,1695115681,0.6666666666666666,172.66666666666669,0.0,276052.0,421541438.6666666,238079884.6666667,0.0,1.0,all containers
7,1695115684,0.3333333333333333,246.66666666666669,0.3333333333333333,451952.6666666667,405512830.6666666,307691642.6666667,0.0,1.0,all containers
8,1695115687,0.6666666666666666,174.66666666666666,0.0,318333.3333333334,383995192.3333333,294851591.6666666,0.0,1.0,all containers
9,1695115690,0.3333333333333333,236.66666666666666,0.0,342483.0,306408333.3333334,301681142.3333334,0.0,1.0,all containers
10,1695115693,0.6666666666666666,249.0,0.3333333333333333,329302.6666666666,327796681.6666667,233332453.6666667,0.0,1.0,all containers
11,1695115696,0.3333333333333333,311.3333333333333,1.0,562294.6666666666,435231860.3333333,413757810.6666666,0.0,1.0,all containers
12,1695115699,0.6666666666666666,283.0,0.3333333333333333,438110.3333333333,318192214.0,337389224.3333333,0.0,1.0,all containers
13,1695115702,0.3333333333333333,211.66666666666669,0.6666666666666666,382480.3333333333,215277130.6666667,197601519.0,0.0,1.0,all containers
14,1695115705,0.6666666666666666,214.66666666666669,0.0,397472.0,244268810.0,205464362.66666666,0.0,1.0,all containers
15,1695115708,0.3333333333333333,391.6666666666667,0.6666666666666666,909230.3333333333,469432684.6666667,537830255.6666667,9.0,1.0,all containers
16,1695115711,0.6666666666666666,160.66666666666669,0.0,443202.0,20202990348.0,8693124378.333334,50.0,1.0,all containers
17,1695115714,0.3333333333333333,271.3333333333333,0.6666666666666666,347473.3333333334,20054071326.333332,9205192219.0,48.0,1.0,all containers
18,1695115717,0.6666666666666666,197.0,0.0,360411.0,19890361811.333332,9117664189.666668,48.0,1.0,all containers
19,1695115720,0.3333333333333333,244.33333333333334,0.6666666666666666,452865.3333333333,19600313023.666668,9692267309.666668,51.0,1.0,all containers
20,1695115723,0.6666666666666666,231.33333333333334,0.3333333333333333,442881.0,19063326184.0,9313630889.666668,49.0,1.0,all containers
21,1695115726,0.3333333333333333,272.0,0.0,420896.6666666667,19836375756.666668,8631225639.0,52.0,1.0,all containers
22,1695115729,0.6666666666666666,213.66666666666666,0.3333333333333333,445277.0,19885597072.666668,9102356968.333334,48.0,1.0,all containers
23,1695115732,0.3333333333333333,199.33333333333334,0.0,264917.0,20910288483.666668,8986883773.333332,52.0,1.0,all containers
24,1695115735,0.6666666666666666,244.66666666666666,0.3333333333333333,407979.0,21329137512.666668,9027986362.333332,49.0,1.0,all containers
25,1695115738,0.3333333333333333,184.66666666666669,0.3333333333333333,287931.3333333333,20107589749.333332,9521619717.0,49.0,1.0,all containers
26,1695115741,0.6666666666666666,270.3333333333333,1.0,569743.3333333334,1761530336.3333335,796690648.3333333,0.0,1.0,all containers
27,1695115744,0.3333333333333333,347.6666666666667,0.6666666666666666,409453.6666666667,350419649.0,291965685.3333334,0.0,1.0,all containers
28,1695115747,0.6666666666666666,215.33333333333334,0.0,460708.3333333334,329998973.0,305784097.6666666,0.0,1.0,all containers
29,1695115750,0.3333333333333333,201.0,0.3333333333333333,430622.0,247654222.0,290698291.0,0.0,1.0,all containers
30,1695115753,0.6666666666666666,365.66666666666663,0.0,807825.3333333334,582947119.3333334,396993113.3333334,3.0,1.0,all containers
31,1695115756,0.3333333333333333,292.0,0.0,548977.3333333334,21426069324.0,11116971478.0,59.0,1.0,all containers
32,1695115759,0.6666666666666666,212.66666666666669,0.6666666666666666,314549.6666666666,21872147713.666668,11105983433.0,58.0,1.0,all containers
33,1695115762,0.3333333333333333,197.66666666666669,0.0,281500.0,21719372371.333336,11122286307.0,56.0,1.0,all containers
34,1695115765,0.6666666666666666,229.33333333333334,0.0,478080.3333333334,22314142677.0,11201510346.333332,55.0,1.0,all containers
35,1695115768,0.3333333333333333,212.33333333333331,0.0,352136.6666666666,22128431119.666668,11512983208.666666,56.0,1.0,all containers
36,1695115771,0.6666666666666666,196.33333333333334,0.3333333333333333,367428.6666666666,23858786370.666668,11810687156.333332,59.0,1.0,all containers
37,1695115774,0.3333333333333333,247.0,0.6666666666666666,404238.3333333334,23838385428.333336,11704760499.666666,56.0,1.0,all containers
38,1695115777,0.6666666666666666,200.66666666666666,0.3333333333333333,473446.0,23053105619.333332,11441193370.0,56.0,1.0,all containers
39,1695115780,0.3333333333333333,201.33333333333331,0.3333333333333333,508014.3333333333,22628464991.333332,10914393216.333334,58.0,1.0,all containers
40,1695115783,0.3333333333333333,251.66666666666666,0.0,352760.6666666666,22457359417.666664,11240958080.0,58.0,1.0,all containers
41,1695115786,0.6666666666666666,303.6666666666667,1.0,649610.0,2176136842.0,1647598859.3333335,0.0,1.0,all containers
42,1695115789,0.3333333333333333,321.33333333333337,0.3333333333333333,850608.0,504024786.3333333,522018499.3333333,0.0,1.0,all containers
43,1695115792,0.6666666666666666,199.33333333333331,0.0,339486.3333333334,330233904.0,301100894.6666667,0.0,1.0,all containers
44,1695115795,0.3333333333333333,230.33333333333331,0.0,254133.0,363637223.6666666,242832212.0,0.0,1.0,all containers
45,1695115798,0.6666666666666666,343.0,0.3333333333333333,846723.0,839643329.3333333,744738425.6666666,2.0,1.0,all containers
46,1695115801,0.3333333333333333,216.0,0.0,503052.0,18959592263.333336,10350860314.333332,41.0,1.0,all containers
47,1695115804,0.6666666666666666,236.66666666666669,0.6666666666666666,341955.3333333334,20194799755.333336,10538572349.666668,41.0,1.0,all containers
48,1695115807,0.3333333333333333,208.0,0.0,566221.3333333334,21981620872.0,12779663714.333332,41.0,1.0,all containers
49,1695115810,0.6666666666666666,198.0,0.6666666666666666,420791.3333333334,21692348819.666668,10486786486.0,40.0,1.0,all containers
50,1695115813,0.3333333333333333,255.33333333333334,0.0,309247.0,21525728798.333336,11358376513.666668,42.0,1.0,all containers
51,1695115816,0.6666666666666666,238.0,0.6666666666666666,400545.6666666666,22195672493.333332,12016566374.0,41.0,1.0,all containers
52,1695115819,0.3333333333333333,207.33333333333331,0.6666666666666666,521882.3333333334,21489485866.333332,11318298915.666666,40.0,1.0,all containers
53,1695115822,0.6666666666666666,185.33333333333331,0.0,524850.6666666666,21756833010.333332,10498989428.666668,42.0,1.0,all containers
54,1695115825,0.3333333333333333,250.33333333333331,0.3333333333333333,350936.0,21268313612.0,12878590478.666668,39.0,1.0,all containers
55,1695115828,0.6666666666666666,194.66666666666666,0.0,501291.0,21156824187.666668,10295124876.0,41.0,1.0,all containers
56,1695115831,0.3333333333333333,259.3333333333333,1.0,795374.3333333334,3073111802.666667,1576081701.6666665,6.0,1.0,all containers
57,1695115834,0.6666666666666666,380.0,0.3333333333333333,433989.3333333334,468344456.3333333,206311100.6666667,0.0,1.0,all containers
58,1695115837,0.3333333333333333,206.0,0.0,485971.3333333334,473460704.6666667,183060386.0,0.0,1.0,all containers
59,1695115840,0.6666666666666666,178.66666666666669,0.3333333333333333,399289.3333333334,370300988.3333334,185794813.6666667,0.0,1.0,all containers
60,1695115843,0.3333333333333333,366.0,0.0,1006470.6666666666,1071253207.0,601297551.6666667,4.0,1.0,all containers
61,1695115846,0.6666666666666666,294.6666666666667,0.6666666666666666,1133957.3333333335,22154528354.333336,14727113992.333332,47.0,1.0,all containers
62,1695115849,0.3333333333333333,187.66666666666666,0.3333333333333333,648812.6666666666,24573742999.333336,15269310694.0,47.0,1.0,all containers
63,1695115852,0.6666666666666666,212.66666666666669,0.3333333333333333,441877.0,25975847382.333336,16188215736.333332,48.0,1.0,all containers
64,1695115855,0.3333333333333333,229.33333333333334,0.3333333333333333,441261.3333333334,24913759956.333336,16297900415.0,49.0,1.0,all containers
65,1695115858,0.6666666666666666,206.66666666666666,0.0,507213.0,24330454128.0,15207558651.666668,50.0,1.0,all containers
66,1695115861,0.3333333333333333,189.66666666666669,0.6666666666666666,422678.3333333334,26416893006.333336,16259412850.666668,47.0,1.0,all containers
67,1695115864,0.6666666666666666,235.0,0.3333333333333333,353618.3333333334,23976477307.333332,16147733786.333332,48.0,1.0,all containers
68,1695115867,0.3333333333333333,200.33333333333334,0.3333333333333333,459732.3333333334,25657061943.0,15441640498.666666,49.0,1.0,all containers
69,1695115870,0.6666666666666666,211.0,0.3333333333333333,533238.6666666667,25569559458.666664,16025099418.333332,48.0,1.0,all containers
70,1695115873,0.3333333333333333,225.0,0.3333333333333333,434584.3333333334,23918668901.0,16355944980.333334,49.0,1.0,all containers
71,1695115876,0.6666666666666666,302.0,1.0,498984.3333333334,5862990805.666666,3655806758.666667,0.0,1.0,all containers
72,1695115879,0.3333333333333333,363.3333333333333,0.0,477640.6666666667,668173057.6666667,401119528.3333334,2.0,1.0,all containers
73,1695115882,0.6666666666666666,185.33333333333334,0.0,304301.3333333334,446159259.0,179419450.33333334,0.0,1.0,all containers
74,1695115885,0.3333333333333333,228.33333333333334,0.3333333333333333,389649.3333333333,419713521.6666667,138550312.3333333,0.0,1.0,all containers
75,1695115888,0.6666666666666666,336.66666666666663,0.3333333333333333,671380.0,830066121.0,367762212.0,5.0,1.0,all containers
76,1695115891,0.3333333333333333,234.66666666666666,0.3333333333333333,1154593.6666666667,23721035943.666668,16771386649.666668,64.0,1.0,all containers
77,1695115894,0.6666666666666666,261.6666666666667,0.6666666666666666,812178.3333333334,29614994268.666664,24923944261.333332,61.0,1.0,all containers
78,1695115897,0.3333333333333333,175.0,0.0,843118.3333333333,32062710369.333336,22319066092.666668,61.0,1.0,all containers
79,1695115900,0.6666666666666666,208.0,0.6666666666666666,1018755.6666666667,30858363199.666668,24732041832.0,60.0,1.0,all containers
80,1695115903,0.3333333333333333,266.66666666666663,0.0,967709.0,30735200178.666664,22874673915.333332,63.0,1.0,all containers
81,1695115906,0.6666666666666666,267.3333333333333,0.3333333333333333,798500.3333333333,32160996153.0,24082877890.0,62.0,1.0,all containers
82,1695115909,0.3333333333333333,191.0,0.3333333333333333,971226.3333333333,29726393484.333336,23389012701.666664,62.0,1.0,all containers
83,1695115912,0.3333333333333333,201.33333333333334,0.3333333333333333,775229.3333333333,32159418512.666668,23970456952.666668,61.0,1.0,all containers
84,1695115915,0.6666666666666666,243.33333333333334,0.6666666666666666,834146.0,30851967305.333336,22833988008.666664,61.0,1.0,all containers
85,1695115918,0.3333333333333333,202.33333333333331,0.3333333333333333,901680.0,30258549434.666664,24387948552.0,61.0,1.0,all containers
86,1695115921,0.6666666666666666,238.66666666666666,1.3333333333333333,830232.0,10814917354.333332,6188846804.0,3.0,1.0,all containers
87,1695115924,0.3333333333333333,488.3333333333333,0.0,405720.6666666666,391794249.6666666,293587751.6666667,0.0,1.0,all containers
88,1695115927,0.6666666666666666,194.66666666666669,0.3333333333333333,375910.3333333334,235108893.6666667,260739638.3333333,0.0,1.0,all containers
89,1695115930,0.3333333333333333,216.0,0.3333333333333333,429961.6666666666,268391539.0,332287585.0,0.0,1.0,all containers
90,1695115933,0.6666666666666666,331.0,0.0,560710.6666666667,329464673.3333334,378467699.6666666,0.0,1.0,all containers
91,1695115936,0.3333333333333333,342.66666666666663,0.3333333333333333,1589537.6666666665,23181641207.666668,22105008226.0,65.0,1.0,all containers
92,1695115939,0.6666666666666666,174.0,0.3333333333333333,1884599.0,31703324498.666668,30293935192.666664,67.0,1.0,all containers
93,1695115942,0.3333333333333333,216.0,0.0,1603451.3333333333,32839748325.0,31043342295.333332,69.0,1.0,all containers
94,1695115945,0.6666666666666666,211.66666666666666,0.6666666666666666,1290953.6666666665,30747088045.333336,29616839138.666664,66.0,1.0,all containers
95,1695115948,0.3333333333333333,214.33333333333334,0.0,1346767.0,32848199957.666668,31125596086.0,67.0,1.0,all containers
96,1695115951,0.6666666666666666,190.0,0.0,1529563.3333333335,31675233965.0,30003639491.999996,69.0,1.0,all containers
97,1695115954,0.3333333333333333,262.33333333333337,0.3333333333333333,1372373.0,31414882785.333332,30574718495.333332,67.0,1.0,all containers
98,1695115957,0.6666666666666666,189.0,0.6666666666666666,1262821.0,32880225158.333332,30746452620.666668,66.0,1.0,all containers
99,1695115960,0.3333333333333333,181.66666666666666,0.3333333333333333,1329884.6666666667,30907406633.666664,29742163266.0,68.0,1.0,all containers
100,1695115963,0.6666666666666666,280.6666666666667,0.3333333333333333,1444629.6666666667,32633037484.0,31716866069.666664,66.0,1.0,all containers
101,1695115966,0.3333333333333333,256.6666666666667,1.3333333333333333,941269.0,13272842282.5,11475770015.666668,0.0,1.0,all containers
102,1695115969,0.6666666666666666,535.0,0.3333333333333333,499303.0,465027520.0,342969721.3333334,0.0,1.0,all containers
