,timestamp,packge_ratio_package,bpf_block_irq,bpf_net_rx_irq,bpf_net_tx_irq,cache_miss,cpu_cycles,cpu_instructions,package_power,core_power,uncore_power,dram_power,node_type,id
0,1695115663,1.0,0.6666666666666666,1936.3333333333333,0.3333333333333333,5969546.0,3804367031.6666665,1884790068.0,14.743333334724099,0.0,0.0,10.581666665772609,1.0,all containers
1,1695115666,1.0,0.3333333333333333,1723.0,0.0,1996588.6666666667,2446964917.0,1512951755.3333333,8.674333333969116,0.0,0.0,10.302000001072884,1.0,all containers
2,1695115669,1.0,0.6666666666666666,626.6666666666667,0.6666666666666666,1103198.0,1300796271.3333335,847845485.3333334,3.396666667113699,0.0,0.0,3.12266666690509,1.0,all containers
3,1695115672,1.0,0.3333333333333333,228.66666666666669,0.3333333333333333,296358.6666666666,342891360.6666666,341284767.0,0.8410000006357841,0.0,0.0,1.3676666667064055,1.0,all containers
4,1695115675,1.0,0.6666666666666666,208.66666666666669,0.0,404573.6666666666,389445167.6666667,309396183.0,0.3950000020364932,0.0,0.0,0.13233333453536034,1.0,all containers
5,1695115678,1.0,0.3333333333333333,231.33333333333334,0.0,396123.6666666666,426130145.3333333,315579503.6666666,0.51733333369096,0.0,0.0,0.046333334098264345,1.0,all containers
6,1695115681,1.0,0.6666666666666666,172.66666666666669,0.0,276052.0,421541438.6666666,238079884.6666667,0.12066666781902313,0.0,0.0,0.0,1.0,all containers
7,1695115684,1.0,0.3333333333333333,246.66666666666669,0.3333333333333333,451952.6666666667,405512830.6666666,307691642.6666667,1.1146666680773123,0.0,0.0,1.3559999999900683,1.0,all containers
8,1695115687,1.0,0.6666666666666666,174.66666666666666,0.0,318333.3333333334,383995192.3333333,294851591.6666666,0.06433333456516266,0.0,0.0,1.2417658012964239e-09,1.0,all containers
9,1695115690,1.0,0.3333333333333333,236.66666666666666,0.0,342483.0,306408333.3333334,301681142.3333334,0.4043333331743888,0.0,0.0,0.0,1.0,all containers
10,1695115693,1.0,0.6666666666666666,249.0,0.3333333333333333,329302.6666666666,327796681.6666667,233332453.6666667,0.8233333354194947,0.0,0.0,1.2680000004669054,1.0,all containers
11,1695115696,1.0,0.3333333333333333,311.3333333333333,1.0,562294.6666666666,435231860.3333333,413757810.6666666,1.5279999996225015,0.0,0.0,0.9636666662991047,1.0,all containers
12,1695115699,1.0,0.6666666666666666,283.0,0.3333333333333333,438110.3333333333,318192214.0,337389224.3333333,0.5783333356181792,0.0,0.0,0.12133333459496498,1.0,all containers
13,1695115702,1.0,0.3333333333333333,211.66666666666669,0.6666666666666666,382480.3333333333,215277130.6666667,197601519.0,1.0153333333631345,0.0,0.0,1.3723333341379984,1.0,all containers
14,1695115705,1.0,0.6666666666666666,214.66666666666669,0.0,397472.0,244268810.0,205464362.66666666,0.3003333347539119,0.0,0.0,0.0,1.0,all containers
15,1695115708,1.0,0.3333333333333333,391.6666666666667,0.6666666666666666,909230.3333333333,469432684.6666667,537830255.6666667,4.285333334157862,0.0,0.0,4.181333334495626,1.0,all containers
16,1695115711,1.0,0.6666666666666666,160.66666666666669,0.0,443202.0,20202990348.0,8693124378.333334,40.430000000943735,0.0,0.0,10.616666665921613,1.0,all containers
17,1695115714,1.0,0.3333333333333333,271.3333333333333,0.6666666666666666,347473.3333333334,20054071326.333332,9205192219.0,42.471666668852166,0.0,0.0,11.316000002125904,1.0,all containers
18,1695115717,1.0,0.6666666666666666,197.0,0.0,360411.0,19890361811.333332,9117664189.666668,40.61900000025828,0.0,0.0,10.182666665563985,1.0,all containers
19,1695115720,1.0,0.3333333333333333,244.33333333333334,0.6666666666666666,452865.3333333333,19600313023.666668,9692267309.666668,42.18933333456516,0.0,0.0,11.165000000347696,1.0,all containers
