,timestamp,bpf_block_irq,bpf_cpu_time_us,bpf_net_rx_irq,bpf_net_tx_irq,platform_power,node_type,id
1203,1695119272,0.3333333333333333,27697.666666666664,182.66666666666666,0.3333333333333333,134.0,1.0,all containers
1204,1695119275,0.6666666666666666,25173.666666666664,248.66666666666669,0.3333333333333333,134.0,1.0,all containers
1205,1695119278,0.3333333333333333,560.0,231.33333333333331,1.0,3.0,1.0,all containers
1206,1695119281,0.6666666666666666,561.0,682.3333333333334,0.0,0.0,1.0,all containers
1207,1695119284,0.3333333333333333,521.6666666666667,228.66666666666669,0.0,0.0,1.0,all containers
1208,1695119287,0.6666666666666666,521.3333333333333,208.66666666666666,0.0,0.0,1.0,all containers
1209,1695119290,0.3333333333333333,516.0,325.3333333333333,0.0,0.0,1.0,all containers
1210,1695119293,0.6666666666666666,19962.666666666664,259.66666666666663,0.0,134.0,1.0,all containers
1211,1695119296,0.3333333333333333,27758.333333333332,270.33333333333337,0.6666666666666666,135.0,1.0,all containers
1212,1695119299,0.6666666666666666,27793.333333333332,187.33333333333334,0.3333333333333333,134.0,1.0,all containers
1213,1695119302,0.3333333333333333,27713.333333333332,224.33333333333334,0.3333333333333333,135.0,1.0,all containers
1214,1695119305,0.6666666666666666,27551.666666666668,220.0,0.6666666666666666,137.0,1.0,all containers
1215,1695119308,0.3333333333333333,27842.666666666668,272.0,0.0,137.0,1.0,all containers
1216,1695119311,0.3333333333333333,27774.0,179.66666666666666,0.3333333333333333,135.0,1.0,all containers
1217,1695119314,0.6666666666666666,27615.0,261.33333333333337,0.3333333333333333,136.0,1.0,all containers
1218,1695119317,0.3333333333333333,27856.666666666668,178.66666666666669,0.3333333333333333,135.0,1.0,all containers
1219,1695119320,0.6666666666666666,27913.000000000004,197.66666666666666,0.6666666666666666,134.0,1.0,all containers
1220,1695119323,0.3333333333333333,8905.0,245.0,0.0,0.0,1.0,all containers
1221,1695119326,0.6666666666666666,577.0,768.0,0.6666666666666666,0.0,1.0,all containers
1222,1695119329,0.3333333333333333,505.0,207.0,0.6666666666666666,0.0,1.0,all containers
1223,1695119332,0.6666666666666666,505.3333333333333,200.33333333333331,0.0,0.0,1.0,all containers
1224,1695119335,0.3333333333333333,537.6666666666667,245.33333333333331,0.6666666666666666,0.0,1.0,all containers
1225,1695119338,0.6666666666666666,549.0,340.6666666666667,0.3333333333333333,74.0,1.0,all containers
1226,1695119341,0.3333333333333333,4283.0,202.0,0.3333333333333333,77.0,1.0,all containers
1227,1695119344,0.6666666666666666,4280.666666666667,213.33333333333334,0.3333333333333333,78.0,1.0,all containers
1228,1695119347,0.3333333333333333,4273.333333333334,225.33333333333334,0.0,77.0,1.0,all containers
1229,1695119350,0.6666666666666666,4274.333333333334,196.66666666666666,0.0,75.0,1.0,all containers
1230,1695119353,0.3333333333333333,4245.333333333333,253.66666666666669,0.0,77.0,1.0,all containers
1231,1695119356,0.6666666666666666,4263.0,284.3333333333333,0.3333333333333333,78.0,1.0,all containers
1232,1695119359,0.3333333333333333,4259.333333333334,233.0,0.3333333333333333,77.0,1.0,all containers
1233,1695119362,0.6666666666666666,4278.666666666667,194.66666666666669,0.0,79.0,1.0,all containers
1234,1695119365,0.3333333333333333,4306.333333333333,263.6666666666667,0.3333333333333333,77.0,1.0,all containers
1235,1695119368,0.6666666666666666,2758.3333333333335,225.66666666666666,0.0,28.0,1.0,all containers
1236,1695119371,0.3333333333333333,536.0,410.6666666666667,1.6666666666666667,0.0,1.0,all containers
1237,1695119374,0.6666666666666666,543.0,212.33333333333334,0.0,0.0,1.0,all containers
1238,1695119377,0.3333333333333333,531.0,223.0,0.0,0.0,1.0,all containers
1239,1695119380,0.6666666666666666,522.3333333333333,176.33333333333331,0.0,0.0,1.0,all containers
1240,1695119383,0.3333333333333333,577.6666666666666,389.3333333333333,0.0,79.0,1.0,all containers
1241,1695119386,0.6666666666666666,7970.999999999999,227.0,0.3333333333333333,96.0,1.0,all containers
1242,1695119389,0.3333333333333333,7910.0,229.33333333333331,0.0,98.0,1.0,all containers
1243,1695119392,0.6666666666666666,7946.999999999999,178.0,0.3333333333333333,96.0,1.0,all containers
1244,1695119395,0.3333333333333333,7957.0,261.6666666666667,0.0,97.0,1.0,all containers
1245,1695119398,0.6666666666666666,7964.333333333333,182.33333333333334,0.3333333333333333,97.0,1.0,all containers
1246,1695119401,0.3333333333333333,7949.333333333333,215.66666666666669,0.6666666666666666,96.0,1.0,all containers
1247,1695119404,0.6666666666666666,7954.0,223.33333333333331,0.3333333333333333,98.0,1.0,all containers
1248,1695119407,0.3333333333333333,7974.0,221.33333333333334,0.3333333333333333,95.0,1.0,all containers
1249,1695119410,0.6666666666666666,7982.666666666667,181.0,0.3333333333333333,96.0,1.0,all containers
1250,1695119413,0.3333333333333333,5486.333333333333,273.33333333333337,0.3333333333333333,61.0,1.0,all containers
1251,1695119416,0.6666666666666666,553.0,482.0,1.3333333333333333,3.0,1.0,all containers
1252,1695119419,0.3333333333333333,496.3333333333333,224.33333333333334,0.0,0.0,1.0,all containers
1253,1695119422,0.6666666666666666,487.66666666666663,173.0,0.3333333333333333,0.0,1.0,all containers
1254,1695119425,0.3333333333333333,502.0,262.6666666666667,0.6666666666666666,0.0,1.0,all containers
1255,1695119428,0.6666666666666666,738.3333333333333,316.3333333333333,0.0,159.0,1.0,all containers
1256,1695119431,0.3333333333333333,14536.666666666668,238.33333333333331,0.3333333333333333,160.0,1.0,all containers
1257,1695119434,0.6666666666666666,14534.333333333334,226.0,0.0,160.0,1.0,all containers
1258,1695119437,0.3333333333333333,14551.0,224.66666666666666,0.3333333333333333,160.0,1.0,all containers
1259,1695119440,0.3333333333333333,14568.666666666666,172.0,0.3333333333333333,160.0,1.0,all containers
1260,1695119443,0.6666666666666666,14541.999999999998,253.00000000000003,0.3333333333333333,159.0,1.0,all containers
1261,1695119446,0.3333333333333333,14741.666666666666,245.33333333333331,0.6666666666666666,163.0,1.0,all containers
1262,1695119449,0.6666666666666666,14538.666666666668,185.33333333333331,0.0,162.0,1.0,all containers
1263,1695119452,0.3333333333333333,14565.0,213.0,0.3333333333333333,161.0,1.0,all containers
1264,1695119455,0.6666666666666666,14570.333333333334,222.66666666666669,0.3333333333333333,161.0,1.0,all containers
1265,1695119458,0.3333333333333333,8222.333333333334,244.33333333333334,0.3333333333333333,65.0,1.0,all containers
1266,1695119461,0.6666666666666666,495.0,520.3333333333334,1.3333333333333333,2.0,1.0,all containers
1267,1695119464,0.3333333333333333,465.6666666666667,235.66666666666669,0.3333333333333333,0.0,1.0,all containers
1268,1695119467,0.6666666666666666,507.66666666666663,200.0,0.0,0.0,1.0,all containers
1269,1695119470,0.3333333333333333,461.0,211.33333333333331,0.0,0.0,1.0,all containers
1270,1695119473,0.6666666666666666,505.3333333333333,375.66666666666663,0.6666666666666666,31.0,1.0,all containers
1271,1695119476,0.3333333333333333,22595.0,244.66666666666669,0.3333333333333333,162.0,1.0,all containers
1272,1695119479,0.6666666666666666,22698.666666666664,191.33333333333334,0.3333333333333333,162.0,1.0,all containers
1273,1695119482,0.3333333333333333,22607.666666666668,212.0,0.6666666666666666,163.0,1.0,all containers
1274,1695119485,0.6666666666666666,22672.666666666668,217.33333333333334,0.0,162.0,1.0,all containers
1275,1695119488,0.3333333333333333,22757.0,245.33333333333331,0.6666666666666666,163.0,1.0,all containers
1276,1695119491,0.6666666666666666,22694.0,189.33333333333334,0.3333333333333333,161.0,1.0,all containers
1277,1695119494,0.3333333333333333,22716.666666666664,252.0,0.0,163.0,1.0,all containers
1278,1695119497,0.6666666666666666,22706.333333333332,200.0,0.0,162.0,1.0,all containers
1279,1695119500,0.3333333333333333,22660.333333333332,200.0,0.3333333333333333,165.0,1.0,all containers
1280,1695119503,0.6666666666666666,19468.0,239.66666666666669,0.3333333333333333,161.0,1.0,all containers
1281,1695119506,0.3333333333333333,495.6666666666667,307.0,1.3333333333333333,0.0,1.0,all containers
1282,1695119509,0.6666666666666666,554.6666666666666,569.6666666666666,0.0,0.0,1.0,all containers
1283,1695119512,0.3333333333333333,514.0,203.0,0.0,0.0,1.0,all containers
1284,1695119515,0.6666666666666666,474.6666666666667,230.33333333333334,0.0,0.0,1.0,all containers
1285,1695119518,0.3333333333333333,534.3333333333334,348.66666666666663,0.0,13.0,1.0,all containers
1286,1695119521,0.6666666666666666,27710.333333333336,179.0,0.3333333333333333,159.0,1.0,all containers
1287,1695119524,0.3333333333333333,27825.666666666668,260.0,0.0,162.0,1.0,all containers
1288,1695119527,0.6666666666666666,27977.0,173.33333333333334,0.6666666666666666,161.0,1.0,all containers
1289,1695119530,0.3333333333333333,28034.666666666668,211.66666666666669,0.0,161.0,1.0,all containers
1290,1695119533,0.6666666666666666,28068.666666666668,242.0,0.3333333333333333,162.0,1.0,all containers
1291,1695119536,0.3333333333333333,28009.333333333332,280.0,0.3333333333333333,164.0,1.0,all containers
1292,1695119539,0.6666666666666666,27998.333333333336,218.0,0.0,161.0,1.0,all containers
1293,1695119542,0.3333333333333333,28021.333333333332,186.33333333333334,0.0,163.0,1.0,all containers
1294,1695119545,0.6666666666666666,27960.0,246.00000000000003,0.0,161.0,1.0,all containers
1295,1695119548,0.3333333333333333,26559.0,194.33333333333334,0.6666666666666666,173.0,1.0,all containers
1296,1695119551,0.6666666666666666,870.3333333333333,230.33333333333334,1.0,0.0,1.0,all containers
1297,1695119554,0.3333333333333333,669.6666666666667,392.33333333333337,0.0,2.0,1.0,all containers
1298,1695119557,0.6666666666666666,515.3333333333334,194.33333333333331,0.3333333333333333,0.0,1.0,all containers
1299,1695119560,0.3333333333333333,493.0,196.66666666666669,0.0,0.0,1.0,all containers
1300,1695119563,0.3333333333333333,524.3333333333334,311.6666666666667,0.3333333333333333,0.0,1.0,all containers
1301,1695119566,0.3333333333333333,449.0,246.0,0.0,162.0,1.0,all containers
1302,1695119569,0.3333333333333333,28019.666666666668,218.0,0.6666666666666666,163.0,1.0,all containers
