,timestamp,kubelet_cpu_usage,kubelet_memory_bytes,platform_power,node_type,id
0,1695115663,0.0,0.0,57.0,1.0,all containers
1,1695115666,0.3333333333333333,9516373.333333332,33.0,1.0,all containers
2,1695115669,0.6666666666666666,3822933.333333333,0.0,1.0,all containers
3,1695115672,0.0,43690.666666666664,0.0,1.0,all containers
4,1695115675,3.0,8399530.666666666,0.0,1.0,all containers
5,1695115678,0.3333333333333333,279893.3333333334,0.0,1.0,all containers
6,1695115681,0.0,0.0,0.0,1.0,all containers
7,1695115684,0.0,0.0,0.0,1.0,all containers
8,1695115687,0.0,542037.3333333334,0.0,1.0,all containers
9,1695115690,0.3333333333333333,0.0,0.0,1.0,all containers
10,1695115693,0.0,9557.333333333334,0.0,1.0,all containers
11,1695115696,0.0,244394.6666666667,0.0,1.0,all containers
12,1695115699,0.3333333333333333,591189.3333333334,0.0,1.0,all containers
13,1695115702,0.3333333333333333,589824.0,0.0,1.0,all containers
14,1695115705,0.3333333333333333,688128.0,0.0,1.0,all containers
15,1695115708,0.0,2730.6666666666665,27.0,1.0,all containers
16,1695115711,1.0,1275221.3333333333,150.0,1.0,all containers
17,1695115714,1.0,1370794.6666666665,144.0,1.0,all containers
18,1695115717,1.6666666666666665,1527808.0,144.0,1.0,all containers
19,1695115720,1.3333333333333333,117418.66666666666,153.0,1.0,all containers
20,1695115723,0.6666666666666666,64170.666666666664,147.0,1.0,all containers
21,1695115726,0.0,0.0,156.0,1.0,all containers
22,1695115729,0.0,55978.666666666664,144.0,1.0,all containers
23,1695115732,0.3333333333333333,217088.0,156.0,1.0,all containers
24,1695115735,4.666666666666666,114688.0,147.0,1.0,all containers
25,1695115738,0.0,811008.0,147.0,1.0,all containers
26,1695115741,0.0,94208.0,0.0,1.0,all containers
27,1695115744,0.0,0.0,0.0,1.0,all containers
28,1695115747,0.3333333333333333,236202.66666666666,0.0,1.0,all containers
29,1695115750,0.0,10922.666666666666,0.0,1.0,all containers
30,1695115753,0.3333333333333333,83285.33333333333,9.0,1.0,all containers
31,1695115756,2.0,2075306.6666666667,177.0,1.0,all containers
32,1695115759,2.3333333333333335,2127189.3333333335,174.0,1.0,all containers
33,1695115762,2.0,288085.3333333334,168.0,1.0,all containers
34,1695115765,2.333333333333333,0.0,165.0,1.0,all containers
35,1695115768,0.3333333333333333,0.0,168.0,1.0,all containers
36,1695115771,0.0,102400.0,177.0,1.0,all containers
37,1695115774,0.3333333333333333,133802.66666666666,168.0,1.0,all containers
38,1695115777,0.3333333333333333,225280.0,168.0,1.0,all containers
39,1695115780,0.0,203434.66666666666,174.0,1.0,all containers
40,1695115783,12.0,187050.66666666666,174.0,1.0,all containers
41,1695115786,0.0,15018.666666666668,0.0,1.0,all containers
42,1695115789,0.3333333333333333,258048.0,0.0,1.0,all containers
43,1695115792,0.0,9557.333333333332,0.0,1.0,all containers
44,1695115795,0.0,727722.6666666667,0.0,1.0,all containers
45,1695115798,0.0,72362.66666666667,6.0,1.0,all containers
46,1695115801,4.0,5537792.0,123.0,1.0,all containers
47,1695115804,4.333333333333333,5380778.666666666,123.0,1.0,all containers
48,1695115807,4.0,5023061.333333333,123.0,1.0,all containers
49,1695115810,4.333333333333334,1365.3333333333333,120.0,1.0,all containers
50,1695115813,2.666666666666667,176128.0,126.0,1.0,all containers
51,1695115816,0.3333333333333333,131072.0,123.0,1.0,all containers
52,1695115819,0.0,46421.333333333336,120.0,1.0,all containers
53,1695115822,0.3333333333333333,2730.6666666666665,126.0,1.0,all containers
54,1695115825,14.0,0.0,117.0,1.0,all containers
55,1695115828,0.3333333333333333,46421.333333333336,123.0,1.0,all containers
56,1695115831,0.6666666666666666,0.0,18.0,1.0,all containers
57,1695115834,0.0,0.0,0.0,1.0,all containers
58,1695115837,0.3333333333333333,25941.333333333332,0.0,1.0,all containers
59,1695115840,0.0,274432.0,0.0,1.0,all containers
60,1695115843,0.0,318122.6666666666,12.0,1.0,all containers
61,1695115846,7.0,11184810.666666666,141.0,1.0,all containers
62,1695115849,8.666666666666666,16019456.0,141.0,1.0,all containers
63,1695115852,8.0,11311786.666666666,144.0,1.0,all containers
64,1695115855,8.0,4096.0,147.0,1.0,all containers
65,1695115858,8.0,0.0,150.0,1.0,all containers
66,1695115861,8.666666666666668,843776.0,141.0,1.0,all containers
67,1695115864,4.333333333333334,13653.333333333334,144.0,1.0,all containers
68,1695115867,0.0,144725.33333333334,147.0,1.0,all containers
69,1695115870,0.0,0.0,144.0,1.0,all containers
70,1695115873,0.6666666666666666,124245.33333333333,147.0,1.0,all containers
71,1695115876,0.3333333333333333,559786.6666666666,0.0,1.0,all containers
72,1695115879,0.3333333333333333,2730.6666666666665,6.0,1.0,all containers
73,1695115882,0.0,40960.0,0.0,1.0,all containers
74,1695115885,0.0,60074.666666666664,0.0,1.0,all containers
75,1695115888,0.6666666666666666,92842.66666666667,15.0,1.0,all containers
