timestamp,bpf_block_irq,bpf_cpu_time_us,bpf_net_rx_irq,bpf_net_tx_irq,package_power,core_power,uncore_power,dram_power,node_type,packge_ratio_package
1695115663,0.6666666666666666,1321.0,1936.3333333333333,0.3333333333333333,137.0410000011325,0.0,0.0,145.8619999960065,1,1.0
1695115666,0.3333333333333333,1139.6666666666667,1723.0,0.0,118.83399999886751,0.0,0.0,145.02300000190735,1,1.0
1695115669,0.6666666666666666,722.0,626.6666666666667,0.6666666666666666,103.00099999830127,0.0,0.0,123.48499999940395,1,1.0
1695115672,0.3333333333333333,487.6666666666667,228.66666666666669,0.3333333333333333,95.33399999886751,0.0,0.0,118.2199999988079,1,1.0
1695115675,0.6666666666666666,477.3333333333333,208.66666666666669,0.0,93.99600000306964,0.0,0.0,114.51400000229478,1,1.0
1695115678,0.3333333333333333,528.0,231.33333333333334,0.0,94.36299999803305,0.0,0.0,114.25600000098348,1,1.0
1695115681,0.6666666666666666,496.6666666666667,172.66666666666669,0.0,93.17300000041723,0.0,0.0,114.1169999986887,1,1.0
1695115684,0.3333333333333333,489.66666666666663,246.66666666666669,0.3333333333333333,96.1550000011921,0.0,0.0,118.1849999986589,1,1.0
1695115687,0.6666666666666666,522.3333333333333,174.66666666666666,0.0,93.00400000065565,0.0,0.0,114.11700000241399,1,1.0
1695115690,0.3333333333333333,498.33333333333337,236.66666666666666,0.0,94.02399999648333,0.0,0.0,114.1169999986887,1,1.0
1695115693,0.6666666666666666,500.0,249.0,0.3333333333333333,95.28100000321865,0.0,0.0,117.9210000000894,1,1.0
1695115696,0.3333333333333333,519.6666666666667,311.3333333333333,1.0,97.39499999582767,0.0,0.0,117.00799999758601,1,1.0
1695115699,0.6666666666666666,538.3333333333334,283.0,0.3333333333333333,94.5460000038147,0.0,0.0,114.48100000247359,1,1.0
1695115702,0.3333333333333333,540.3333333333334,211.66666666666669,0.6666666666666666,95.85699999704957,0.0,0.0,118.23400000110269,1,1.0
1695115705,0.6666666666666666,505.33333333333337,214.66666666666669,0.0,93.7120000012219,0.0,0.0,114.1169999986887,1,1.0
