timestamp,cache_miss,cpu_cycles,cpu_instructions,platform_power,node_type
1695115663,5969546.0,3804367031.6666665,1884790068.0,190.0,1
1695115666,1996588.6666666665,2446964917.0,1512951755.3333333,182.0,1
1695115669,1103198.0,1300796271.3333333,847845485.3333333,171.0,1
1695115672,296358.6666666666,342891360.6666667,341284767.0,171.0,1
1695115675,404573.6666666666,389445167.6666667,309396183.0,171.0,1
1695115678,396123.6666666666,426130145.3333334,315579503.6666666,171.0,1
1695115681,276052.0,421541438.6666666,238079884.6666667,171.0,1
1695115684,451952.6666666667,405512830.6666666,307691642.6666667,171.0,1
1695115687,318333.3333333334,383995192.3333333,294851591.6666666,171.0,1
1695115690,342483.0,306408333.3333334,301681142.3333333,171.0,1
1695115693,329302.6666666666,327796681.6666667,233332453.6666667,171.0,1
1695115696,562294.6666666666,435231860.3333333,413757810.6666666,171.0,1
1695115699,438110.3333333333,318192214.0,337389224.3333333,171.0,1
1695115702,382480.3333333333,215277130.6666667,197601519.0,171.0,1
1695115705,397472.0,244268810.0,205464362.66666666,171.0,1
1695115708,909230.3333333333,469432684.6666667,537830255.6666667,180.0,1
1695115711,443202.0,20202990348.0,8693124378.333334,221.0,1
1695115714,347473.3333333334,20054071326.333332,9205192219.0,219.0,1
1695115717,360411.0,19890361811.333332,9117664189.666668,219.0,1
1695115720,452865.3333333333,19600313023.666668,9692267309.666668,222.0,1
1695115723,442881.0,19063326184.0,9313630889.666668,220.0,1
1695115726,420896.6666666667,19836375756.666668,8631225639.0,223.0,1
1695115729,445277.0,19885597072.666668,9102356968.333334,219.0,1
1695115732,264917.0,20910288483.666668,8986883773.333332,223.0,1
1695115735,407979.0,21329137512.666668,9027986362.333332,220.0,1
1695115738,287931.3333333333,20107589749.333332,9521619717.0,220.0,1
1695115741,569743.3333333334,1761530336.3333335,796690648.3333333,171.0,1
1695115744,409453.6666666667,350419649.0,291965685.3333333,171.0,1
1695115747,460708.3333333334,329998973.0,305784097.6666666,171.0,1
1695115750,430622.0,247654222.0,290698291.0,171.0,1
1695115753,807825.3333333334,582947119.3333334,396993113.3333334,174.0,1
1695115756,548977.3333333334,21426069324.0,11116971478.0,230.0,1
1695115759,314549.6666666666,21872147713.666668,11105983433.0,229.0,1
1695115762,281500.0,21719372371.333336,11122286307.0,227.0,1
1695115765,478080.3333333334,22314142677.0,11201510346.333332,226.0,1
1695115768,352136.6666666667,22128431119.666668,11512983208.666666,227.0,1
1695115771,367428.6666666666,23858786370.666668,11810687156.333332,230.0,1
1695115774,404238.3333333334,23838385428.333336,11704760499.666666,227.0,1
1695115777,473446.0,23053105619.333332,11441193370.0,227.0,1
1695115780,508014.3333333333,22628464991.333332,10914393216.333334,229.0,1
