timestamp,cgroupfs_cpu_usage_us,cgroupfs_memory_usage_bytes,cgroupfs_system_cpu_usage_us,cgroupfs_user_cpu_usage_us,platform_power,node_type
1695115663,389633.3333333334,737280.0,99613.33333333334,290020.0,190.0,1
1695115666,0.0,0.0,0.0,0.0,182.0,1
1695115669,0.0,0.0,0.0,0.0,171.0,1
1695115672,0.0,0.0,0.0,0.0,171.0,1
1695115675,0.0,0.0,0.0,0.0,171.0,1
1695115678,0.0,0.0,0.0,0.0,171.0,1
1695115681,0.0,0.0,0.0,0.0,171.0,1
1695115684,0.0,0.0,0.0,0.0,171.0,1
1695115687,0.0,0.0,0.0,0.0,171.0,1
1695115690,0.0,0.0,0.0,0.0,171.0,1
1695115693,84689.33333333333,0.0,0.0,84689.33333333333,171.0,1
1695115696,196339.66666666666,0.0,13262.0,183077.66666666666,171.0,1
1695115699,0.0,0.0,0.0,0.0,171.0,1
1695115702,0.0,0.0,0.0,0.0,171.0,1
1695115705,0.0,0.0,0.0,0.0,171.0,1
1695115708,386682.0,638976.0,97284.0,289404.0,180.0,1
1695115711,0.0,0.0,0.0,0.0,221.0,1
1695115714,25160.0,0.0,0.0,25160.0,219.0,1
1695115717,0.0,0.0,0.0,0.0,219.0,1
1695115720,0.0,0.0,0.0,0.0,222.0,1
1695115723,0.0,0.0,0.0,0.0,220.0,1
1695115726,0.0,0.0,0.0,0.0,223.0,1
1695115729,1413.3333333333335,0.0,0.0,1413.3333333333335,219.0,1
1695115732,0.0,0.0,0.0,0.0,223.0,1
1695115735,0.0,0.0,0.0,0.0,220.0,1
1695115738,0.0,0.0,0.0,0.0,220.0,1
1695115741,278360.0,109226.66666666666,87193.33333333334,191160.0,171.0,1
1695115744,0.0,103765.33333333333,0.0,0.0,171.0,1
1695115747,0.0,0.0,0.0,0.0,171.0,1
1695115750,0.0,0.0,0.0,0.0,171.0,1
1695115753,399728.3333333333,980309.3333333334,49729.333333333336,349999.0,174.0,1
1695115756,0.0,589824.0,0.0,0.0,230.0,1
1695115759,0.0,0.0,0.0,0.0,229.0,1
1695115762,0.0,0.0,0.0,0.0,227.0,1
1695115765,0.0,0.0,0.0,0.0,226.0,1
1695115768,0.0,0.0,0.0,0.0,227.0,1
1695115771,0.0,0.0,0.0,0.0,230.0,1
1695115774,24164.0,0.0,9667.0,14504.0,227.0,1
1695115777,0.0,0.0,0.0,0.0,227.0,1
1695115780,0.0,0.0,0.0,0.0,229.0,1
1695115783,0.0,0.0,0.0,0.0,229.0,1
1695115786,286062.0,0.0,71820.0,214242.0,171.0,1
1695115789,0.0,0.0,0.0,0.0,171.0,1
1695115792,0.0,0.0,0.0,0.0,171.0,1
1695115795,0.0,0.0,0.0,0.0,171.0,1
1695115798,386720.0,709973.3333333333,90906.66666666666,295813.3333333333,173.0,1
1695115801,41367.33333333333,0.0,3791.3333333333335,37576.0,212.0,1
1695115804,0.0,0.0,0.0,0.0,212.0,1
1695115807,0.0,0.0,0.0,0.0,212.0,1
1695115810,0.0,0.0,0.0,0.0,211.0,1
1695115813,0.0,0.0,0.0,0.0,213.0,1
1695115816,0.0,0.0,0.0,0.0,212.0,1
1695115819,0.0,0.0,0.0,0.0,211.0,1
1695115822,0.0,0.0,0.0,0.0,213.0,1
1695115825,0.0,0.0,0.0,0.0,210.0,1
1695115828,0.0,0.0,0.0,0.0,212.0,1
1695115831,299148.6666666666,0.0,4009.0,295139.6666666666,177.0,1
1695115834,29952.0,0.0,1542.0,28410.0,171.0,1
1695115837,0.0,0.0,0.0,0.0,171.0,1
1695115840,0.0,0.0,0.0,0.0,171.0,1
1695115843,333870.0,737280.0,55296.0,278568.0,175.0,1
1695115846,34413.333333333336,737280.0,19573.333333333332,14846.666666666668,218.0,1
1695115849,0.0,0.0,0.0,0.0,218.0,1
1695115852,0.0,0.0,0.0,0.0,219.0,1
1695115855,0.0,0.0,0.0,0.0,220.0,1
1695115858,0.0,0.0,0.0,0.0,221.0,1
1695115861,0.0,0.0,0.0,0.0,218.0,1
1695115864,0.0,0.0,0.0,0.0,219.0,1
1695115867,0.0,0.0,0.0,0.0,220.0,1
1695115870,0.0,0.0,0.0,0.0,219.0,1
1695115873,0.0,0.0,0.0,0.0,220.0,1
1695115876,262026.6666666667,0.0,35260.0,226766.6666666667,171.0,1
1695115879,14839.0,0.0,14839.0,0.0,173.0,1
1695115882,0.0,0.0,0.0,0.0,171.0,1
1695115885,0.0,0.0,0.0,0.0,171.0,1
1695115888,341316.0,651264.0,50502.0,290807.6666666666,176.0,1
1695115891,38689.0,70997.33333333333,3297.0,35392.0,235.0,1
1695115894,19460.0,0.0,0.0,19460.0,232.0,1
1695115897,0.0,0.0,0.0,0.0,232.0,1
1695115900,0.0,0.0,0.0,0.0,231.0,1
1695115903,0.0,0.0,0.0,0.0,234.0,1
1695115906,0.0,0.0,0.0,0.0,233.0,1
1695115909,0.0,0.0,0.0,0.0,233.0,1
1695115912,0.0,0.0,0.0,0.0,232.0,1
1695115915,0.0,0.0,0.0,0.0,232.0,1
1695115918,0.0,0.0,0.0,0.0,232.0,1
1695115921,311045.0,315392.0,120036.0,191016.0,174.0,1
1695115924,15853.333333333332,300373.3333333333,0.0,15853.333333333332,171.0,1
1695115927,0.0,0.0,0.0,0.0,171.0,1
1695115930,0.0,0.0,0.0,0.0,171.0,1
1695115933,275873.3333333333,1196032.0,70353.33333333333,205520.0,171.0,1
1695115936,129629687.0,4560213.333333334,51797680.333333336,77832006.66666667,236.0,1
1695115939,0.0,0.0,0.0,0.0,238.0,1
1695115942,0.0,0.0,0.0,0.0,240.0,1
1695115945,0.0,0.0,0.0,0.0,237.0,1
1695115948,0.0,0.0,0.0,0.0,238.0,1
1695115951,0.0,0.0,0.0,0.0,240.0,1
1695115954,21039.333333333336,30037.333333333332,8404.0,12628.0,238.0,1
1695115957,0.0,0.0,0.0,0.0,237.0,1
1695115960,0.0,0.0,0.0,0.0,239.0,1
1695115963,0.0,0.0,0.0,0.0,237.0,1
1695115966,269869.6666666667,1365.3333333333333,91417.33333333333,178458.33333333334,171.0,1
1695115969,23610.0,0.0,0.0,23604.0,171.0,1
1695115972,0.0,0.0,0.0,0.0,171.0,1
1695115975,0.0,0.0,0.0,0.0,171.0,1
1695115978,147726.0,613034.6666666667,20743.333333333336,126986.0,171.0,1
1695115981,217716.0,746837.3333333334,4438.666666666666,213274.0,239.0,1
1695115984,0.0,0.0,0.0,0.0,239.0,1
1695115987,0.0,0.0,0.0,0.0,240.0,1
1695115990,0.0,0.0,0.0,0.0,241.0,1
1695115993,0.0,0.0,0.0,0.0,241.0,1
1695115996,0.0,0.0,0.0,0.0,242.0,1
1695115999,0.0,0.0,0.0,0.0,241.0,1
1695116002,0.0,0.0,0.0,0.0,240.0,1
1695116005,0.0,0.0,0.0,0.0,240.0,1
1695116008,0.0,0.0,0.0,0.0,242.0,1
1695116011,262320.0,327680.0,87533.33333333334,174786.6666666667,177.0,1
1695116014,31400.666666666668,311296.0,12546.333333333334,18854.333333333336,171.0,1
1695116017,0.0,0.0,0.0,0.0,171.0,1
1695116020,0.0,0.0,0.0,0.0,171.0,1
1695116023,67076.33333333334,129706.66666666667,4794.333333333334,62282.0,171.0,1
1695116026,283391.3333333334,544768.0,36277.33333333333,247114.0,241.0,1
1695116029,0.0,0.0,0.0,0.0,241.0,1
1695116032,0.0,0.0,0.0,0.0,240.0,1
1695116035,0.0,0.0,0.0,0.0,239.0,1
1695116038,0.0,0.0,0.0,0.0,239.0,1
1695116041,0.0,0.0,0.0,0.0,238.0,1
1695116044,0.0,0.0,0.0,0.0,240.0,1
1695116047,0.0,0.0,0.0,0.0,242.0,1
1695116050,0.0,0.0,0.0,0.0,239.0,1
1695116053,0.0,0.0,0.0,0.0,241.0,1
1695116056,83580.0,0.0,9072.0,74515.0,171.0,1
1695116059,192480.0,0.0,24820.0,167660.0,171.0,1
1695116062,0.0,0.0,0.0,0.0,171.0,1
1695116065,0.0,0.0,0.0,0.0,171.0,1
1695116068,0.0,0.0,0.0,0.0,171.0,1
1695116071,394453.3333333334,709973.3333333333,146226.66666666666,248226.6666666667,182.0,1
