,timestamp,cgroupfs_cpu_usage_us,cgroupfs_memory_usage_bytes,cgroupfs_system_cpu_usage_us,cgroupfs_user_cpu_usage_us,platform_power,node_type,id
84,1695115915,0.0,0.0,0.0,0.0,61.0,1.0,all containers
85,1695115918,0.0,0.0,0.0,0.0,61.0,1.0,all containers
86,1695115921,311045.0,315392.0,120036.0,191016.0,3.0,1.0,all containers
87,1695115924,15853.333333333332,300373.3333333333,0.0,15853.333333333332,0.0,1.0,all containers
88,1695115927,0.0,0.0,0.0,0.0,0.0,1.0,all containers
89,1695115930,0.0,0.0,0.0,0.0,0.0,1.0,all containers
90,1695115933,275873.3333333333,1196032.0,70353.33333333333,205520.0,0.0,1.0,all containers
91,1695115936,129629687.0,4560213.333333333,51797680.333333336,77832006.66666667,65.0,1.0,all containers
92,1695115939,0.0,0.0,0.0,0.0,67.0,1.0,all containers
93,1695115942,0.0,0.0,0.0,0.0,69.0,1.0,all containers
94,1695115945,0.0,0.0,0.0,0.0,66.0,1.0,all containers
95,1695115948,0.0,0.0,0.0,0.0,67.0,1.0,all containers
96,1695115951,0.0,0.0,0.0,0.0,69.0,1.0,all containers
97,1695115954,21039.333333333336,30037.333333333332,8404.0,12628.0,67.0,1.0,all containers
98,1695115957,0.0,0.0,0.0,0.0,66.0,1.0,all containers
99,1695115960,0.0,0.0,0.0,0.0,68.0,1.0,all containers
100,1695115963,0.0,0.0,0.0,0.0,66.0,1.0,all containers
101,1695115966,269869.6666666667,1365.3333333333333,91417.33333333333,178458.33333333334,0.0,1.0,all containers
102,1695115969,23610.0,0.0,0.0,23604.0,0.0,1.0,all containers
103,1695115972,0.0,0.0,0.0,0.0,0.0,1.0,all containers
104,1695115975,0.0,0.0,0.0,0.0,0.0,1.0,all containers
105,1695115978,147726.0,613034.6666666667,20743.333333333336,126986.0,0.0,1.0,all containers
106,1695115981,217716.0,746837.3333333334,4438.666666666666,213274.0,68.0,1.0,all containers
107,1695115984,0.0,0.0,0.0,0.0,68.0,1.0,all containers
108,1695115987,0.0,0.0,0.0,0.0,69.0,1.0,all containers
109,1695115990,0.0,0.0,0.0,0.0,70.0,1.0,all containers
110,1695115993,0.0,0.0,0.0,0.0,70.0,1.0,all containers
111,1695115996,0.0,0.0,0.0,0.0,71.0,1.0,all containers
112,1695115999,0.0,0.0,0.0,0.0,70.0,1.0,all containers
113,1695116002,0.0,0.0,0.0,0.0,69.0,1.0,all containers
114,1695116005,0.0,0.0,0.0,0.0,69.0,1.0,all containers
115,1695116008,0.0,0.0,0.0,0.0,71.0,1.0,all containers
116,1695116011,262320.0,327680.0,87533.33333333334,174786.6666666667,6.0,1.0,all containers
117,1695116014,31400.666666666668,311296.0,12546.333333333334,18854.333333333336,0.0,1.0,all containers
118,1695116017,0.0,0.0,0.0,0.0,0.0,1.0,all containers
119,1695116020,0.0,0.0,0.0,0.0,0.0,1.0,all containers
120,1695116023,67076.33333333334,129706.66666666667,4794.333333333334,62282.0,0.0,1.0,all containers
121,1695116026,283391.3333333334,544768.0,36277.33333333333,247114.0,70.0,1.0,all containers
122,1695116029,0.0,0.0,0.0,0.0,70.0,1.0,all containers
123,1695116032,0.0,0.0,0.0,0.0,69.0,1.0,all containers
124,1695116035,0.0,0.0,0.0,0.0,68.0,1.0,all containers
125,1695116038,0.0,0.0,0.0,0.0,68.0,1.0,all containers
126,1695116041,0.0,0.0,0.0,0.0,67.0,1.0,all containers
127,1695116044,0.0,0.0,0.0,0.0,69.0,1.0,all containers
128,1695116047,0.0,0.0,0.0,0.0,71.0,1.0,all containers
