timestamp,cgroupfs_cpu_usage_us,cgroupfs_memory_usage_bytes,cgroupfs_system_cpu_usage_us,cgroupfs_user_cpu_usage_us,package_power,core_power,uncore_power,dram_power,node_type,packge_ratio_package
1695115663,389633.3333333334,737280.0,99613.33333333334,290020.0,45.68033333371082,0.0,0.0,48.620666665335506,1,1.0
1695115666,0.0,0.0,0.0,0.0,39.61133333295584,0.0,0.0,48.34100000063578,1,1.0
1695115669,0.0,0.0,0.0,0.0,34.33366666610042,0.0,0.0,41.16166666646799,1,1.0
1695115672,0.0,0.0,0.0,0.0,31.777999999622505,0.0,0.0,39.4066666662693,1,1.0
1695115675,0.0,0.0,0.0,0.0,31.332000001023214,0.0,0.0,38.17133333409826,1,1.0
1695115678,0.0,0.0,0.0,0.0,31.45433333267768,0.0,0.0,38.08533333366116,1,1.0
1695115681,0.0,0.0,0.0,0.0,31.057666666805744,0.0,0.0,38.0389999995629,1,1.0
1695115684,0.0,0.0,0.0,0.0,32.05166666706403,0.0,0.0,39.394999999552965,1,1.0
1695115687,0.0,0.0,0.0,0.0,31.001333333551884,0.0,0.0,38.03900000080466,1,1.0
1695115690,0.0,0.0,0.0,0.0,31.34133333216111,0.0,0.0,38.0389999995629,1,1.0
1695115693,84689.33333333333,0.0,0.0,84689.33333333333,31.760333334406216,0.0,0.0,39.3070000000298,1,1.0
1695115696,196339.66666666666,0.0,13262.0,183077.66666666666,32.46499999860922,0.0,0.0,39.002666665862,1,1.0
1695115699,0.0,0.0,0.0,0.0,31.5153333346049,0.0,0.0,38.16033333415786,1,1.0
1695115702,0.0,0.0,0.0,0.0,31.952333332349856,0.0,0.0,39.411333333700895,1,1.0
1695115705,0.0,0.0,0.0,0.0,31.237333333740633,0.0,0.0,38.0389999995629,1,1.0
1695115708,386682.0,638976.0,97284.0,289404.0,35.22233333314458,0.0,0.0,42.22033333405852,1,1.0
1695115711,0.0,0.0,0.0,0.0,71.36699999993046,0.0,0.0,48.65566666548451,1,1.0
1695115714,25160.0,0.0,0.0,25160.0,73.40866666783889,0.0,0.0,49.3550000016888,1,1.0
1695115717,0.0,0.0,0.0,0.0,71.555999999245,0.0,0.0,48.22166666512688,1,1.0
1695115720,0.0,0.0,0.0,0.0,73.12633333355188,0.0,0.0,49.20399999991059,1,1.0
1695115723,0.0,0.0,0.0,0.0,72.77166666587193,0.0,0.0,48.65933333337307,1,1.0
1695115726,0.0,0.0,0.0,0.0,73.0396666675806,0.0,0.0,49.20799999932448,1,1.0
1695115729,1413.3333333333335,0.0,0.0,1413.3333333333335,71.99033333361149,0.0,0.0,48.250333335250616,1,1.0
1695115732,0.0,0.0,0.0,0.0,72.6776666653653,0.0,0.0,49.157333333045244,1,1.0
1695115735,0.0,0.0,0.0,0.0,72.43866666778922,0.0,0.0,48.66000000014901,1,1.0
1695115738,0.0,0.0,0.0,0.0,72.78566666692495,0.0,0.0,48.912999998778105,1,1.0
1695115741,278360.0,109226.66666666666,87193.33333333334,191160.0,33.62666666507721,0.0,0.0,40.73833333452543,1,1.0
1695115744,0.0,103765.33333333333,0.0,0.0,31.592000000178814,0.0,0.0,38.0389999995629,1,1.0
1695115747,0.0,0.0,0.0,0.0,31.505333334207535,0.0,0.0,38.0389999995629,1,1.0
1695115750,0.0,0.0,0.0,0.0,31.652333332846567,0.0,0.0,38.05133333429694,1,1.0
1695115753,399728.3333333333,980309.3333333334,49729.333333333336,349999.0,34.16233333324393,0.0,0.0,40.57499999925494,1,1.0
1695115756,0.0,589824.0,0.0,0.0,77.67733333383997,0.0,0.0,49.19166666766008,1,1.0
1695115759,0.0,0.0,0.0,0.0,78.23066666722298,0.0,0.0,48.260666665931545,1,1.0
1695115762,0.0,0.0,0.0,0.0,79.4636666662991,0.0,0.0,49.01266666625937,1,1.0
1695115765,0.0,0.0,0.0,0.0,78.73499999940395,0.0,0.0,48.43666666621963,1,1.0
1695115768,0.0,0.0,0.0,0.0,80.09433333327372,0.0,0.0,49.13266666730245,1,1.0
1695115771,0.0,0.0,0.0,0.0,79.03766666725278,0.0,0.0,48.29600000008941,1,1.0
1695115774,24164.0,0.0,9667.0,14504.0,79.79899999996026,0.0,0.0,49.04266666745146,1,1.0
1695115777,0.0,0.0,0.0,0.0,79.44166666641831,0.0,0.0,48.81166666621963,1,1.0
1695115780,0.0,0.0,0.0,0.0,79.82233333339293,0.0,0.0,48.878666665405035,1,1.0
1695115783,0.0,0.0,0.0,0.0,79.48566666742165,0.0,0.0,48.65800000106295,1,1.0
1695115786,286062.0,0.0,71820.0,214242.0,35.407666665812336,0.0,0.0,39.7963333328565,1,1.0
1695115789,0.0,0.0,0.0,0.0,32.6213333333532,0.0,0.0,39.62066666657726,1,1.0
1695115792,0.0,0.0,0.0,0.0,31.377000000327826,0.0,0.0,38.0389999995629,1,1.0
1695115795,0.0,0.0,0.0,0.0,31.08333333209157,0.0,0.0,38.03900000080466,1,1.0
1695115798,386720.0,709973.3333333333,90906.66666666666,295813.3333333333,34.624333334465824,0.0,0.0,41.209666665643454,1,1.0
1695115801,41367.33333333333,0.0,3791.3333333333335,37576.0,63.872666666905076,0.0,0.0,48.475666667024285,1,1.0
1695115804,0.0,0.0,0.0,0.0,65.53033333271742,0.0,0.0,49.050666667521,1,1.0
1695115807,0.0,0.0,0.0,0.0,65.69800000016888,0.0,0.0,48.700666666030884,1,1.0
1695115810,0.0,0.0,0.0,0.0,65.17399999996026,0.0,0.0,48.7353333334128,1,1.0
