,timestamp,packge_ratio_package,bpf_cpu_time_us,cache_miss,cgroupfs_cpu_usage_us,cgroupfs_memory_usage_bytes,cgroupfs_system_cpu_usage_us,cgroupfs_user_cpu_usage_us,cpu_cycles,cpu_instructions,kubelet_cpu_usage,kubelet_memory_bytes,package_power,core_power,uncore_power,dram_power,node_type,id
0,1695115663,1.0,1321.0,5969546.0,389633.3333333334,737280.0,99613.33333333334,290020.0,3804367031.6666665,1884790068.0,0.0,0.0,44.230000004172325,0.0,0.0,31.74499999731779,1.0,all containers
1,1695115666,1.0,1139.6666666666667,1996588.6666666667,0.0,0.0,0.0,0.0,2446964917.0,1512951755.3333333,0.3333333333333333,9516373.333333332,26.02300000190735,0.0,0.0,30.90600000321865,1.0,all containers
2,1695115669,1.0,722.0,1103198.0,0.0,0.0,0.0,0.0,1300796271.3333335,847845485.3333334,0.6666666666666666,3822933.333333333,10.190000001341105,0.0,0.0,9.368000000715256,1.0,all containers
3,1695115672,1.0,487.6666666666667,296358.6666666666,0.0,0.0,0.0,0.0,342891360.6666666,341284767.0,0.0,43690.666666666664,2.5230000019073486,0.0,0.0,4.103000000119209,1.0,all containers
4,1695115675,1.0,477.3333333333333,404573.6666666666,0.0,0.0,0.0,0.0,389445167.6666667,309396183.0,3.0,8399530.666666666,1.185000006109476,0.0,0.0,0.397000003606081,1.0,all containers
5,1695115678,1.0,528.0,396123.6666666666,0.0,0.0,0.0,0.0,426130145.3333333,315579503.6666666,0.3333333333333333,279893.3333333334,1.5520000010728836,0.0,0.0,0.13900000229477882,1.0,all containers
6,1695115681,1.0,496.6666666666667,276052.0,0.0,0.0,0.0,0.0,421541438.6666666,238079884.6666667,0.0,0.0,0.3620000034570694,0.0,0.0,0.0,1.0,all containers
7,1695115684,1.0,489.66666666666663,451952.6666666667,0.0,0.0,0.0,0.0,405512830.6666666,307691642.6666667,0.0,0.0,3.34400000423193,0.0,0.0,4.067999999970198,1.0,all containers
8,1695115687,1.0,522.3333333333333,318333.3333333334,0.0,0.0,0.0,0.0,383995192.3333333,294851591.6666666,0.0,542037.3333333334,0.19300000369548798,0.0,0.0,3.725290298461914e-09,1.0,all containers
9,1695115690,1.0,498.33333333333337,342483.0,0.0,0.0,0.0,0.0,306408333.3333334,301681142.3333334,0.3333333333333333,0.0,1.2129999995231628,0.0,0.0,0.0,1.0,all containers
10,1695115693,1.0,500.0,329302.6666666666,84689.33333333333,0.0,0.0,84689.33333333333,327796681.6666667,233332453.6666667,0.0,9557.333333333334,2.4700000062584877,0.0,0.0,3.804000001400709,1.0,all containers
11,1695115696,1.0,519.6666666666667,562294.6666666666,196339.66666666666,0.0,13262.0,183077.66666666666,435231860.3333333,413757810.6666666,0.0,244394.6666666667,4.583999998867512,0.0,0.0,2.890999998897314,1.0,all containers
12,1695115699,1.0,538.3333333333334,438110.3333333333,0.0,0.0,0.0,0.0,318192214.0,337389224.3333333,0.3333333333333333,591189.3333333334,1.7350000068545341,0.0,0.0,0.36400000378489494,1.0,all containers
13,1695115702,1.0,540.3333333333334,382480.3333333333,0.0,0.0,0.0,0.0,215277130.6666667,197601519.0,0.3333333333333333,589824.0,3.046000000089407,0.0,0.0,4.117000002413988,1.0,all containers
14,1695115705,1.0,505.33333333333337,397472.0,0.0,0.0,0.0,0.0,244268810.0,205464362.66666666,0.3333333333333333,688128.0,0.9010000042617321,0.0,0.0,0.0,1.0,all containers
15,1695115708,1.0,568.0,909230.3333333333,386682.0,638976.0,97284.0,289404.0,469432684.6666667,537830255.6666667,0.0,2730.6666666666665,12.856000002473593,0.0,0.0,12.544000003486872,1.0,all containers
16,1695115711,1.0,1481.3333333333333,443202.0,0.0,0.0,0.0,0.0,20202990348.0,8693124378.333334,1.0,1275221.3333333333,121.29000000283122,0.0,0.0,31.849999997764826,1.0,all containers
17,1695115714,1.0,1488.6666666666665,347473.3333333334,25160.0,0.0,0.0,25160.0,20054071326.333332,9205192219.0,1.0,1370794.6666666665,127.41500000655651,0.0,0.0,33.9480000063777,1.0,all containers
18,1695115717,1.0,1507.0,360411.0,0.0,0.0,0.0,0.0,19890361811.333332,9117664189.666668,1.6666666666666665,1527808.0,121.85700000077486,0.0,0.0,30.547999996691942,1.0,all containers
19,1695115720,1.0,1448.0,452865.3333333333,0.0,0.0,0.0,0.0,19600313023.666668,9692267309.666668,1.3333333333333333,117418.66666666666,126.56800000369549,0.0,0.0,33.49500000104308,1.0,all containers
20,1695115723,1.0,1524.6666666666665,442881.0,0.0,0.0,0.0,0.0,19063326184.0,9313630889.666668,0.6666666666666666,64170.666666666664,125.50400000065565,0.0,0.0,31.86100000143051,1.0,all containers
21,1695115726,1.0,1477.0,420896.6666666667,0.0,0.0,0.0,0.0,19836375756.666668,8631225639.0,0.0,0.0,126.30800000578165,0.0,0.0,33.506999999284744,1.0,all containers
22,1695115729,1.0,1531.0,445277.0,1413.3333333333335,0.0,0.0,1413.3333333333335,19885597072.666668,9102356968.333334,0.0,55978.666666666664,123.1600000038743,0.0,0.0,30.63400000706315,1.0,all containers
