timestamp,bpf_block_irq,bpf_cpu_time_us,bpf_net_rx_irq,bpf_net_tx_irq,platform_power,node_type
1695115663,0.6666666666666666,1321.0,1936.3333333333333,0.3333333333333333,190.0,1
1695115666,0.3333333333333333,1139.6666666666667,1723.0,0.0,182.0,1
1695115669,0.6666666666666666,722.0,626.6666666666667,0.6666666666666666,171.0,1
1695115672,0.3333333333333333,487.6666666666667,228.66666666666669,0.3333333333333333,171.0,1
1695115675,0.6666666666666666,477.3333333333333,208.66666666666669,0.0,171.0,1
1695115678,0.3333333333333333,528.0,231.33333333333334,0.0,171.0,1
1695115681,0.6666666666666666,496.6666666666667,172.66666666666669,0.0,171.0,1
1695115684,0.3333333333333333,489.66666666666663,246.66666666666669,0.3333333333333333,171.0,1
1695115687,0.6666666666666666,522.3333333333333,174.66666666666666,0.0,171.0,1
1695115690,0.3333333333333333,498.33333333333337,236.66666666666666,0.0,171.0,1
1695115693,0.6666666666666666,500.0,249.0,0.3333333333333333,171.0,1
1695115696,0.3333333333333333,519.6666666666667,311.3333333333333,1.0,171.0,1
1695115699,0.6666666666666666,538.3333333333334,283.0,0.3333333333333333,171.0,1
1695115702,0.3333333333333333,540.3333333333334,211.66666666666669,0.6666666666666666,171.0,1
1695115705,0.6666666666666666,505.33333333333337,214.66666666666669,0.0,171.0,1
1695115708,0.3333333333333333,568.0,391.6666666666667,0.6666666666666666,180.0,1
1695115711,0.6666666666666666,1481.3333333333333,160.66666666666669,0.0,221.0,1
1695115714,0.3333333333333333,1488.6666666666665,271.3333333333333,0.6666666666666666,219.0,1
1695115717,0.6666666666666666,1507.0,197.0,0.0,219.0,1
1695115720,0.3333333333333333,1448.0,244.33333333333334,0.6666666666666666,222.0,1
1695115723,0.6666666666666666,1524.6666666666665,231.33333333333334,0.3333333333333333,220.0,1
1695115726,0.3333333333333333,1477.0,272.0,0.0,223.0,1
1695115729,0.6666666666666666,1531.0,213.66666666666666,0.3333333333333333,219.0,1
1695115732,0.3333333333333333,1471.3333333333333,199.33333333333334,0.0,223.0,1
1695115735,0.6666666666666666,1488.6666666666665,244.66666666666666,0.3333333333333333,220.0,1
1695115738,0.3333333333333333,1505.0,184.66666666666669,0.3333333333333333,220.0,1
1695115741,0.6666666666666666,581.6666666666667,270.3333333333333,1.0,171.0,1
