,timestamp,packge_ratio_package,bpf_block_irq,bpf_cpu_time_us,bpf_net_rx_irq,bpf_net_tx_irq,package_power,core_power,uncore_power,dram_power,node_type,id
0,1695115663,1.0,0.6666666666666666,1321.0,1936.3333333333333,0.3333333333333333,44.230000004172325,0.0,0.0,31.74499999731779,1.0,all containers
1,1695115666,1.0,0.3333333333333333,1139.6666666666667,1723.0,0.0,26.02300000190735,0.0,0.0,30.90600000321865,1.0,all containers
2,1695115669,1.0,0.6666666666666666,722.0,626.6666666666667,0.6666666666666666,10.190000001341105,0.0,0.0,9.368000000715256,1.0,all containers
3,1695115672,1.0,0.3333333333333333,487.6666666666667,228.66666666666669,0.3333333333333333,2.5230000019073486,0.0,0.0,4.103000000119209,1.0,all containers
4,1695115675,1.0,0.6666666666666666,477.3333333333333,208.66666666666669,0.0,1.185000006109476,0.0,0.0,0.397000003606081,1.0,all containers
5,1695115678,1.0,0.3333333333333333,528.0,231.33333333333334,0.0,1.5520000010728836,0.0,0.0,0.13900000229477882,1.0,all containers
6,1695115681,1.0,0.6666666666666666,496.6666666666667,172.66666666666669,0.0,0.3620000034570694,0.0,0.0,0.0,1.0,all containers
7,1695115684,1.0,0.3333333333333333,489.66666666666663,246.66666666666669,0.3333333333333333,3.34400000423193,0.0,0.0,4.067999999970198,1.0,all containers
8,1695115687,1.0,0.6666666666666666,522.3333333333333,174.66666666666666,0.0,0.19300000369548798,0.0,0.0,3.725290298461914e-09,1.0,all containers
9,1695115690,1.0,0.3333333333333333,498.33333333333337,236.66666666666666,0.0,1.2129999995231628,0.0,0.0,0.0,1.0,all containers
10,1695115693,1.0,0.6666666666666666,500.0,249.0,0.3333333333333333,2.4700000062584877,0.0,0.0,3.804000001400709,1.0,all containers
11,1695115696,1.0,0.3333333333333333,519.6666666666667,311.3333333333333,1.0,4.583999998867512,0.0,0.0,2.890999998897314,1.0,all containers
12,1695115699,1.0,0.6666666666666666,538.3333333333334,283.0,0.3333333333333333,1.7350000068545341,0.0,0.0,0.36400000378489494,1.0,all containers
13,1695115702,1.0,0.3333333333333333,540.3333333333334,211.66666666666669,0.6666666666666666,3.046000000089407,0.0,0.0,4.117000002413988,1.0,all containers
14,1695115705,1.0,0.6666666666666666,505.33333333333337,214.66666666666669,0.0,0.9010000042617321,0.0,0.0,0.0,1.0,all containers
15,1695115708,1.0,0.3333333333333333,568.0,391.6666666666667,0.6666666666666666,12.856000002473593,0.0,0.0,12.544000003486872,1.0,all containers
16,1695115711,1.0,0.6666666666666666,1481.3333333333333,160.66666666666669,0.0,121.29000000283122,0.0,0.0,31.849999997764826,1.0,all containers
17,1695115714,1.0,0.3333333333333333,1488.6666666666665,271.3333333333333,0.6666666666666666,127.41500000655651,0.0,0.0,33.9480000063777,1.0,all containers
18,1695115717,1.0,0.6666666666666666,1507.0,197.0,0.0,121.85700000077486,0.0,0.0,30.547999996691942,1.0,all containers
19,1695115720,1.0,0.3333333333333333,1448.0,244.33333333333334,0.6666666666666666,126.56800000369549,0.0,0.0,33.49500000104308,1.0,all containers
20,1695115723,1.0,0.6666666666666666,1524.6666666666665,231.33333333333334,0.3333333333333333,125.50400000065565,0.0,0.0,31.86100000143051,1.0,all containers
21,1695115726,1.0,0.3333333333333333,1477.0,272.0,0.0,126.30800000578165,0.0,0.0,33.506999999284744,1.0,all containers
22,1695115729,1.0,0.6666666666666666,1531.0,213.66666666666666,0.3333333333333333,123.1600000038743,0.0,0.0,30.63400000706315,1.0,all containers
23,1695115732,1.0,0.3333333333333333,1471.3333333333333,199.33333333333334,0.0,125.22199999913573,0.0,0.0,33.355000000447035,1.0,all containers
24,1695115735,1.0,0.6666666666666666,1488.6666666666665,244.66666666666666,0.3333333333333333,124.5050000064075,0.0,0.0,31.863000001758337,1.0,all containers
25,1695115738,1.0,0.3333333333333333,1505.0,184.66666666666669,0.3333333333333333,125.5460000038147,0.0,0.0,32.62199999764562,1.0,all containers
26,1695115741,1.0,0.6666666666666666,581.6666666666667,270.3333333333333,1.0,8.068999998271465,0.0,0.0,8.09800000488758,1.0,all containers
27,1695115744,1.0,0.3333333333333333,485.0,347.6666666666667,0.6666666666666666,1.9650000035762787,0.0,0.0,0.0,1.0,all containers
28,1695115747,1.0,0.6666666666666666,519.3333333333334,215.33333333333334,0.0,1.7050000056624413,0.0,0.0,0.0,1.0,all containers
29,1695115750,1.0,0.3333333333333333,514.3333333333334,201.0,0.3333333333333333,2.146000001579523,0.0,0.0,0.03700000420212746,1.0,all containers
30,1695115753,1.0,0.6666666666666666,568.6666666666667,365.66666666666663,0.0,9.676000002771616,0.0,0.0,7.607999999076128,1.0,all containers
31,1695115756,1.0,0.3333333333333333,2336.666666666667,292.0,0.0,140.22100000455976,0.0,0.0,33.458000004291534,1.0,all containers
32,1695115759,1.0,0.6666666666666666,2453.666666666667,212.66666666666669,0.6666666666666666,141.88100000470877,0.0,0.0,30.66499999910593,1.0,all containers
33,1695115762,1.0,0.3333333333333333,2396.3333333333335,197.66666666666669,0.0,145.58000000193715,0.0,0.0,32.92100000008941,1.0,all containers
34,1695115765,1.0,0.6666666666666666,2439.666666666667,229.33333333333334,0.0,143.3940000012517,0.0,0.0,31.192999999970198,1.0,all containers
35,1695115768,1.0,0.3333333333333333,2433.3333333333335,212.33333333333331,0.0,147.47200000286102,0.0,0.0,33.28100000321865,1.0,all containers
36,1695115771,1.0,0.6666666666666666,2484.0,196.33333333333334,0.3333333333333333,144.30200000479817,0.0,0.0,30.771000001579523,1.0,all containers
