,timestamp,packge_ratio_package,cgroupfs_cpu_usage_us,cgroupfs_memory_usage_bytes,cgroupfs_system_cpu_usage_us,cgroupfs_user_cpu_usage_us,package_power,core_power,uncore_power,dram_power,node_type,id
44,1695115795,1.0,0.0,0.0,0.0,0.0,0.14633333310484886,0.0,0.0,1.2417658012964239e-09,1.0,all containers
45,1695115798,1.0,386720.0,709973.3333333333,90906.66666666666,295813.3333333333,3.687333335479103,0.0,0.0,3.1706666660805567,1.0,all containers
46,1695115801,1.0,41367.33333333333,0.0,3791.3333333333335,37576.0,32.935666667918355,0.0,0.0,10.436666667461388,1.0,all containers
47,1695115804,1.0,0.0,0.0,0.0,0.0,34.5933333337307,0.0,0.0,11.011666667958103,1.0,all containers
48,1695115807,1.0,0.0,0.0,0.0,0.0,34.761000001182154,0.0,0.0,10.661666666467987,1.0,all containers
49,1695115810,1.0,0.0,0.0,0.0,0.0,34.23700000097354,0.0,0.0,10.6963333338499,1.0,all containers
50,1695115813,1.0,0.0,0.0,0.0,0.0,33.77300000066559,0.0,0.0,10.361666666964702,1.0,all containers
51,1695115816,1.0,0.0,0.0,0.0,0.0,34.58066666871309,0.0,0.0,10.791333335141353,1.0,all containers
52,1695115819,1.0,0.0,0.0,0.0,0.0,34.46633333340287,0.0,0.0,10.65899999936422,1.0,all containers
53,1695115822,1.0,0.0,0.0,0.0,0.0,34.88100000098348,0.0,0.0,10.808333334823452,1.0,all containers
54,1695115825,1.0,0.0,0.0,0.0,0.0,33.549333333969116,0.0,0.0,10.47366666669648,1.0,all containers
55,1695115828,1.0,0.0,0.0,0.0,0.0,35.69200000166893,0.0,0.0,11.225333333015442,1.0,all containers
56,1695115831,1.0,299148.6666666666,0.0,4009.0,295139.6666666666,4.073666668186583,0.0,0.0,3.2666666681567875,1.0,all containers
57,1695115834,1.0,29952.0,0.0,1542.0,28410.0,1.458666667342186,0.0,0.0,2.166999999433756,1.0,all containers
58,1695115837,1.0,0.0,0.0,0.0,0.0,0.5776666676004716,0.0,0.0,1.2417658012964239e-09,1.0,all containers
59,1695115840,1.0,0.0,0.0,0.0,0.0,0.40000000099341193,0.0,0.0,0.0,1.0,all containers
60,1695115843,1.0,333870.0,737280.0,55296.0,278568.0,4.712666666756071,0.0,0.0,3.0646666673322542,1.0,all containers
61,1695115846,1.0,34413.333333333336,737280.0,19573.333333333332,14846.666666666668,37.32600000252326,0.0,0.0,10.636666665474579,1.0,all containers
62,1695115849,1.0,0.0,0.0,0.0,0.0,41.56666666766007,0.0,0.0,10.735000001887485,1.0,all containers
63,1695115852,1.0,0.0,0.0,0.0,0.0,41.003666666646794,0.0,0.0,10.783333333830043,1.0,all containers
64,1695115855,1.0,0.0,0.0,0.0,0.0,40.394333335260555,0.0,0.0,10.44533333430688,1.0,all containers
65,1695115858,1.0,0.0,0.0,0.0,0.0,41.840333333859846,0.0,0.0,11.08833333353202,1.0,all containers
66,1695115861,1.0,0.0,0.0,0.0,0.0,40.465333333859846,0.0,0.0,10.388666667044163,1.0,all containers
67,1695115864,1.0,0.0,0.0,0.0,0.0,41.00433333466451,0.0,0.0,10.953333333134651,1.0,all containers
68,1695115867,1.0,0.0,0.0,0.0,0.0,40.68233333403866,0.0,0.0,10.579666666686535,1.0,all containers
69,1695115870,1.0,0.0,0.0,0.0,0.0,41.235000001887485,0.0,0.0,10.703666667143509,1.0,all containers
70,1695115873,1.0,0.0,0.0,0.0,0.0,40.414666666338846,0.0,0.0,10.508333334078394,1.0,all containers
71,1695115876,1.0,262026.6666666667,0.0,35260.0,226766.6666666667,6.743666668732963,0.0,0.0,0.17500000074505806,1.0,all containers
72,1695115879,1.0,14839.0,0.0,14839.0,0.0,1.3680000007152557,0.0,0.0,1.4263333342969418,1.0,all containers
73,1695115882,1.0,0.0,0.0,0.0,0.0,0.31200000147025264,0.0,0.0,0.0,1.0,all containers
74,1695115885,1.0,0.0,0.0,0.0,0.0,0.6593333333730698,0.0,0.0,0.803000000615917,1.0,all containers
75,1695115888,1.0,341316.0,651264.0,50502.0,290807.6666666666,3.226333335042,0.0,0.0,2.6989999997119156,1.0,all containers
76,1695115891,1.0,38689.0,70997.33333333333,3297.0,35392.0,44.1176666667064,0.0,0.0,10.296000001331173,1.0,all containers
77,1695115894,1.0,19460.0,0.0,0.0,19460.0,52.41600000113249,0.0,0.0,10.863333333283663,1.0,all containers
78,1695115897,1.0,0.0,0.0,0.0,0.0,52.278000002106026,0.0,0.0,10.582666666557394,1.0,all containers
79,1695115900,1.0,0.0,0.0,0.0,0.0,52.73433333386977,0.0,0.0,10.65533333520095,1.0,all containers
80,1695115903,1.0,0.0,0.0,0.0,0.0,52.58200000226498,0.0,0.0,10.717333332945906,1.0,all containers
81,1695115906,1.0,0.0,0.0,0.0,0.0,53.095000000049666,0.0,0.0,10.947000000625849,1.0,all containers
82,1695115909,1.0,0.0,0.0,0.0,0.0,52.71166666721304,0.0,0.0,10.51799999922514,1.0,all containers
83,1695115912,1.0,0.0,0.0,0.0,0.0,52.77233333388965,0.0,0.0,10.827666667600475,1.0,all containers
84,1695115915,1.0,0.0,0.0,0.0,0.0,51.75666666775942,0.0,0.0,10.318666667987905,1.0,all containers
85,1695115918,1.0,0.0,0.0,0.0,0.0,53.35200000181794,0.0,0.0,11.111333334197603,1.0,all containers
86,1695115921,1.0,311045.0,315392.0,120036.0,191016.0,17.02133333310485,0.0,0.0,4.685666665434837,1.0,all containers
87,1695115924,1.0,15853.333333333332,300373.3333333333,0.0,15853.333333333332,0.6860000019272157,0.0,0.0,0.14666666835546494,1.0,all containers
88,1695115927,1.0,0.0,0.0,0.0,0.0,0.06666666766007623,0.0,0.0,0.0,1.0,all containers
89,1695115930,1.0,0.0,0.0,0.0,0.0,1.0063333337505647,0.0,0.0,0.2980000004172325,1.0,all containers
90,1695115933,1.0,275873.3333333333,1196032.0,70353.33333333333,205520.0,2.378333335121475,0.0,0.0,2.3143333345651627,1.0,all containers
91,1695115936,1.0,129629687.0,4560213.333333333,51797680.333333336,77832006.66666667,45.56933333476384,0.0,0.0,10.793000000218562,1.0,all containers
92,1695115939,1.0,0.0,0.0,0.0,0.0,56.418333334227384,0.0,0.0,10.31333333378037,1.0,all containers
93,1695115942,1.0,0.0,0.0,0.0,0.0,58.0183333357175,0.0,0.0,11.364999999602638,1.0,all containers
94,1695115945,1.0,0.0,0.0,0.0,0.0,55.825000000496686,0.0,0.0,10.374666667232923,1.0,all containers
95,1695115948,1.0,0.0,0.0,0.0,0.0,57.444333334763826,0.0,0.0,11.13533333440622,1.0,all containers
96,1695115951,1.0,0.0,0.0,0.0,0.0,57.14400000000995,0.0,0.0,10.848333333929382,1.0,all containers
97,1695115954,1.0,21039.333333333336,30037.333333333332,8404.0,12628.0,56.91866666699451,0.0,0.0,10.952999999125801,1.0,all containers
98,1695115957,1.0,0.0,0.0,0.0,0.0,56.71466666832566,0.0,0.0,10.783333333830043,1.0,all containers
99,1695115960,1.0,0.0,0.0,0.0,0.0,57.36833333348234,0.0,0.0,10.675666667521,1.0,all containers
100,1695115963,1.0,0.0,0.0,0.0,0.0,56.521666668355465,0.0,0.0,10.576000000039741,1.0,all containers
101,1695115966,1.0,269869.6666666667,1365.3333333333333,91417.33333333333,178458.33333333334,26.273000000665576,0.0,0.0,4.2053333347042425,1.0,all containers
102,1695115969,1.0,23610.0,0.0,0.0,23604.0,1.3620000022153036,0.0,0.0,2.256333333750568,1.0,all containers
103,1695115972,1.0,0.0,0.0,0.0,0.0,0.9839999998609237,0.0,0.0,0.2876666660110203,1.0,all containers
104,1695115975,1.0,0.0,0.0,0.0,0.0,0.6160000016291924,0.0,0.0,0.03700000047683716,1.0,all containers
105,1695115978,1.0,147726.0,613034.6666666667,20743.333333333336,126986.0,1.4676666681965216,0.0,0.0,0.6863333346943108,1.0,all containers
106,1695115981,1.0,217716.0,746837.3333333334,4438.666666666666,213274.0,47.26400000105302,0.0,0.0,11.00333333387971,1.0,all containers
107,1695115984,1.0,0.0,0.0,0.0,0.0,59.72266666715343,0.0,0.0,11.66599999989073,1.0,all containers
108,1695115987,1.0,0.0,0.0,0.0,0.0,56.321333335091666,0.0,0.0,9.830666667471334,1.0,all containers
109,1695115990,1.0,0.0,0.0,0.0,0.0,59.91166666646798,0.0,0.0,11.676000000288091,1.0,all containers
110,1695115993,1.0,0.0,0.0,0.0,0.0,57.972666668395206,0.0,0.0,10.796333334098264,1.0,all containers
111,1695115996,1.0,0.0,0.0,0.0,0.0,59.21199999998014,0.0,0.0,11.226666666567326,1.0,all containers
112,1695115999,1.0,0.0,0.0,0.0,0.0,57.63500000163913,0.0,0.0,10.375000001241766,1.0,all containers
113,1695116002,1.0,0.0,0.0,0.0,0.0,59.93066666771968,0.0,0.0,11.75899999961257,1.0,all containers
114,1695116005,1.0,0.0,0.0,0.0,0.0,57.247999999672174,0.0,0.0,10.195999999841057,1.0,all containers
115,1695116008,1.0,0.0,0.0,0.0,0.0,60.00400000313918,0.0,0.0,11.743666668732963,1.0,all containers
116,1695116011,1.0,262320.0,327680.0,87533.33333333334,174786.6666666667,33.13433333362143,0.0,0.0,5.869000000258289,1.0,all containers
117,1695116014,1.0,31400.666666666668,311296.0,12546.333333333334,18854.333333333336,1.014666667828962,0.0,0.0,0.0,1.0,all containers
