timestamp,bpf_cpu_time_us,cache_miss,cgroupfs_cpu_usage_us,cgroupfs_memory_usage_bytes,cgroupfs_system_cpu_usage_us,cgroupfs_user_cpu_usage_us,cpu_cycles,cpu_instructions,kubelet_cpu_usage,kubelet_memory_bytes,package_power,core_power,uncore_power,dram_power,node_type,packge_ratio_package
1695115663,1321.0,5969546.0,389633.3333333334,737280.0,99613.33333333334,290020.0,3804367031.6666665,1884790068.0,0.0,0.0,45.68033333371082,0.0,0.0,48.620666665335506,1,1.0
1695115666,1139.6666666666667,1996588.6666666667,0.0,0.0,0.0,0.0,2446964917.0,1512951755.3333333,0.3333333333333333,9516373.333333332,39.61133333295584,0.0,0.0,48.34100000063578,1,1.0
1695115669,722.0,1103198.0,0.0,0.0,0.0,0.0,1300796271.3333335,847845485.3333334,0.6666666666666666,3822933.333333333,34.33366666610042,0.0,0.0,41.16166666646799,1,1.0
1695115672,487.6666666666667,296358.6666666666,0.0,0.0,0.0,0.0,342891360.6666666,341284767.0,0.0,43690.666666666664,31.777999999622505,0.0,0.0,39.4066666662693,1,1.0
1695115675,477.3333333333333,404573.6666666666,0.0,0.0,0.0,0.0,389445167.6666667,309396183.0,3.0,8399530.666666666,31.332000001023214,0.0,0.0,38.17133333409826,1,1.0
1695115678,528.0,396123.6666666666,0.0,0.0,0.0,0.0,426130145.3333333,315579503.6666666,0.3333333333333333,279893.3333333334,31.45433333267768,0.0,0.0,38.08533333366116,1,1.0
1695115681,496.6666666666667,276052.0,0.0,0.0,0.0,0.0,421541438.6666666,238079884.6666667,0.0,0.0,31.057666666805744,0.0,0.0,38.0389999995629,1,1.0
1695115684,489.66666666666663,451952.6666666667,0.0,0.0,0.0,0.0,405512830.6666666,307691642.6666667,0.0,0.0,32.05166666706403,0.0,0.0,39.394999999552965,1,1.0
1695115687,522.3333333333333,318333.3333333334,0.0,0.0,0.0,0.0,383995192.3333333,294851591.6666666,0.0,542037.3333333334,31.001333333551884,0.0,0.0,38.03900000080466,1,1.0
1695115690,498.33333333333337,342483.0,0.0,0.0,0.0,0.0,306408333.3333334,301681142.3333334,0.3333333333333333,0.0,31.34133333216111,0.0,0.0,38.0389999995629,1,1.0
1695115693,500.0,329302.6666666666,84689.33333333333,0.0,0.0,84689.33333333333,327796681.6666667,233332453.6666667,0.0,9557.333333333334,31.760333334406216,0.0,0.0,39.3070000000298,1,1.0
1695115696,519.6666666666667,562294.6666666666,196339.66666666666,0.0,13262.0,183077.66666666666,435231860.3333333,413757810.6666666,0.0,244394.6666666667,32.46499999860922,0.0,0.0,39.002666665862,1,1.0
1695115699,538.3333333333334,438110.3333333333,0.0,0.0,0.0,0.0,318192214.0,337389224.3333333,0.3333333333333333,591189.3333333334,31.5153333346049,0.0,0.0,38.16033333415786,1,1.0
1695115702,540.3333333333334,382480.3333333333,0.0,0.0,0.0,0.0,215277130.6666667,197601519.0,0.3333333333333333,589824.0,31.952333332349856,0.0,0.0,39.411333333700895,1,1.0
1695115705,505.33333333333337,397472.0,0.0,0.0,0.0,0.0,244268810.0,205464362.66666666,0.3333333333333333,688128.0,31.237333333740633,0.0,0.0,38.0389999995629,1,1.0
1695115708,568.0,909230.3333333333,386682.0,638976.0,97284.0,289404.0,469432684.6666667,537830255.6666667,0.0,2730.6666666666665,35.22233333314458,0.0,0.0,42.22033333405852,1,1.0
1695115711,1481.3333333333333,443202.0,0.0,0.0,0.0,0.0,20202990348.0,8693124378.333334,1.0,1275221.3333333333,71.36699999993046,0.0,0.0,48.65566666548451,1,1.0
1695115714,1488.6666666666665,347473.3333333334,25160.0,0.0,0.0,25160.0,20054071326.333332,9205192219.0,1.0,1370794.6666666665,73.40866666783889,0.0,0.0,49.3550000016888,1,1.0
1695115717,1507.0,360411.0,0.0,0.0,0.0,0.0,19890361811.333332,9117664189.666668,1.6666666666666665,1527808.0,71.555999999245,0.0,0.0,48.22166666512688,1,1.0
1695115720,1448.0,452865.3333333333,0.0,0.0,0.0,0.0,19600313023.666668,9692267309.666668,1.3333333333333333,117418.66666666666,73.12633333355188,0.0,0.0,49.20399999991059,1,1.0
1695115723,1524.6666666666665,442881.0,0.0,0.0,0.0,0.0,19063326184.0,9313630889.666668,0.6666666666666666,64170.666666666664,72.77166666587193,0.0,0.0,48.65933333337307,1,1.0
1695115726,1477.0,420896.6666666667,0.0,0.0,0.0,0.0,19836375756.666668,8631225639.0,0.0,0.0,73.0396666675806,0.0,0.0,49.20799999932448,1,1.0
1695115729,1531.0,445277.0,1413.3333333333335,0.0,0.0,1413.3333333333335,19885597072.666668,9102356968.333334,0.0,55978.666666666664,71.99033333361149,0.0,0.0,48.250333335250616,1,1.0
1695115732,1471.3333333333333,264917.0,0.0,0.0,0.0,0.0,20910288483.666668,8986883773.333332,0.3333333333333333,217088.0,72.6776666653653,0.0,0.0,49.157333333045244,1,1.0
1695115735,1488.6666666666665,407979.0,0.0,0.0,0.0,0.0,21329137512.666668,9027986362.333332,4.666666666666666,114688.0,72.43866666778922,0.0,0.0,48.66000000014901,1,1.0
1695115738,1505.0,287931.3333333333,0.0,0.0,0.0,0.0,20107589749.333332,9521619717.0,0.0,811008.0,72.78566666692495,0.0,0.0,48.912999998778105,1,1.0
1695115741,581.6666666666667,569743.3333333334,278360.0,109226.66666666666,87193.33333333334,191160.0,1761530336.3333335,796690648.3333333,0.0,94208.0,33.62666666507721,0.0,0.0,40.73833333452543,1,1.0
