,Unnamed: 0,model_name,model_class,model_file,features,fe_files,output_type,mae,mape,platform_mae,platform_mape,trainer,node_type,feature_group
461,2573,GradientBoostingRegressorTrainer_143,scikit,GradientBoostingRegressorTrainer_143.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.65,11.05,2.65,11.05,GradientBoostingRegressorTrainer,143,BPFOnly
462,252,LogisticRegressionTrainer_84,curvefit,LogisticRegressionTrainer_84.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.66,1.0,2.66,1.0,LogisticRegressionTrainer,84,BPFOnly
463,325,PolynomialRegressionTrainer_303,scikit,PolynomialRegressionTrainer_303.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",['poly_scaler.pkl'],DynPower,2.66,10.44,2.66,10.44,PolynomialRegressionTrainer,303,BPFOnly
464,2267,KNeighborsRegressorTrainer_259,scikit,KNeighborsRegressorTrainer_259.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.66,9.17,2.66,9.17,KNeighborsRegressorTrainer,259,BPFOnly
465,2689,XgboostFitTrainer_58,xgboost,XgboostFitTrainer_58.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.66,22.23,2.66,22.23,XgboostFitTrainer,58,BPFOnly
466,2179,KNeighborsRegressorTrainer_307,scikit,KNeighborsRegressorTrainer_307.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.67,3.01,2.67,3.01,KNeighborsRegressorTrainer,307,BPFOnly
467,2238,PolynomialRegressionTrainer_193,scikit,PolynomialRegressionTrainer_193.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",['poly_scaler.pkl'],DynPower,2.67,8.36,2.67,8.36,PolynomialRegressionTrainer,193,BPFOnly
468,1197,SGDRegressorTrainer_260,scikit,SGDRegressorTrainer_260.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.68,6.43,2.68,6.43,SGDRegressorTrainer,260,BPFOnly
469,155,GradientBoostingRegressorTrainer_92,scikit,GradientBoostingRegressorTrainer_92.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.69,4.86,2.69,4.86,GradientBoostingRegressorTrainer,92,BPFOnly
470,1626,LinearRegressionTrainer_59,scikit,LinearRegressionTrainer_59.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.69,10.17,2.69,10.17,LinearRegressionTrainer,59,BPFOnly
471,2296,LogarithmicRegressionTrainer_180,curvefit,LogarithmicRegressionTrainer_180.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.69,2.25,2.69,2.25,LogarithmicRegressionTrainer,180,BPFOnly
472,2593,PolynomialRegressionTrainer_243,scikit,PolynomialRegressionTrainer_243.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",['poly_scaler.pkl'],DynPower,2.69,18.18,2.69,18.18,PolynomialRegressionTrainer,243,BPFOnly
473,2532,SGDRegressorTrainer_8,scikit,SGDRegressorTrainer_8.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.71,7.24,2.71,7.24,SGDRegressorTrainer,8,BPFOnly
474,159,LogarithmicRegressionTrainer_43,curvefit,LogarithmicRegressionTrainer_43.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.72,5.62,2.72,5.62,LogarithmicRegressionTrainer,43,BPFOnly
475,2492,ExponentialRegressionTrainer_11,curvefit,ExponentialRegressionTrainer_11.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.72,7.47,2.72,7.47,ExponentialRegressionTrainer,11,BPFOnly
476,2252,PolynomialRegressionTrainer_78,scikit,PolynomialRegressionTrainer_78.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",['poly_scaler.pkl'],DynPower,2.73,2.17,2.73,2.17,PolynomialRegressionTrainer,78,BPFOnly
477,1092,LinearRegressionTrainer_176,scikit,LinearRegressionTrainer_176.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.74,2.82,2.74,2.82,LinearRegressionTrainer,176,BPFOnly
478,1295,XgboostFitTrainer_22,xgboost,XgboostFitTrainer_22.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.74,10.18,2.74,10.18,XgboostFitTrainer,22,BPFOnly
479,1469,LogarithmicRegressionTrainer_177,curvefit,LogarithmicRegressionTrainer_177.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.74,5.73,2.74,5.73,LogarithmicRegressionTrainer,177,BPFOnly
