,Unnamed: 0,model_name,model_class,model_file,features,fe_files,output_type,mae,package_mae,core_mae,uncore_mae,dram_mae,feature_group,power_range,mae_threshold
23,2,KNeighborsRegressorTrainer_1,scikit,KNeighborsRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_us', 'bpf_net_rx_irq', 'bpf_net_tx_irq']",[],AbsPower,25.36392212513526,25.36392212513526,0.0,0.0,6.7887962152964505,BPFIRQ,477.3310000002384,95.46620000004768
24,1,SVRRegressorTrainer_1,scikit,SVRRegressorTrainer_1.json,"['bpf_cpu_time_us', 'cache_miss', 'cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us', 'cpu_cycles', 'cpu_instructions', 'kubelet_cpu_usage', 'kubelet_memory_bytes']",[],AbsPower,28.995928470896924,28.995928470896924,0.0,0.0,5.7988180138180905,Basic,477.3310000002384,95.46620000004768
25,1,SVRRegressorTrainer_1,scikit,SVRRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_us', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'cache_miss', 'cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us', 'cpu_cycles', 'cpu_instructions', 'kubelet_cpu_usage', 'kubelet_memory_bytes']",[],AbsPower,31.562629892821292,31.562629892821292,0.0,0.0,6.0529873723994845,WorkloadOnly,477.3310000002384,95.46620000004768
26,1,SVRRegressorTrainer_1,scikit,SVRRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'cache_miss', 'cpu_cycles', 'cpu_instructions']",[],AbsPower,32.09700897318223,32.09700897318223,0.0,0.0,6.4552996021980205,CounterIRQCombined,477.3310000002384,95.46620000004768
27,1,SVRRegressorTrainer_1,scikit,SVRRegressorTrainer_1.json,['bpf_cpu_time_us'],[],AbsPower,38.752011747132414,38.752011747132414,0.0,0.0,11.721468529700523,BPFOnly,477.3310000002384,95.46620000004768
28,5,PolynomialRegressionTrainer_1,scikit,PolynomialRegressionTrainer_1.json,['bpf_cpu_time_us'],['poly_scaler.pkl'],AbsPower,42.044148977238514,42.044148977238514,0.0,0.0,13.432391823471834,BPFOnly,477.3310000002384,95.46620000004768
29,0,SGDRegressorTrainer_1,scikit,SGDRegressorTrainer_1.json,['bpf_cpu_time_us'],[],AbsPower,43.20343552172919,43.20343552172919,0.0,0.0,12.731414953421016,BPFOnly,477.3310000002384,95.46620000004768
30,3,LinearRegressionTrainer_1,scikit,LinearRegressionTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_us', 'bpf_net_rx_irq', 'bpf_net_tx_irq']",[],AbsPower,44.39761405170528,44.39761405170528,0.0,0.0,12.042293207710834,BPFIRQ,477.3310000002384,95.46620000004768
31,5,PolynomialRegressionTrainer_1,scikit,PolynomialRegressionTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_us', 'bpf_net_rx_irq', 'bpf_net_tx_irq']",['poly_scaler.pkl'],AbsPower,44.73061484842712,44.73061484842712,0.0,0.0,13.031267970762205,BPFIRQ,477.3310000002384,95.46620000004768
32,0,SGDRegressorTrainer_1,scikit,SGDRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_us', 'bpf_net_rx_irq', 'bpf_net_tx_irq']",[],AbsPower,45.50888680442302,45.50888680442302,0.0,0.0,11.936639252587376,BPFIRQ,477.3310000002384,95.46620000004768
33,1,SVRRegressorTrainer_1,scikit,SVRRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_us', 'bpf_net_rx_irq', 'bpf_net_tx_irq']",[],AbsPower,45.542711937376296,45.542711937376296,0.0,0.0,12.424233283219111,BPFIRQ,477.3310000002384,95.46620000004768
34,3,LinearRegressionTrainer_1,scikit,LinearRegressionTrainer_1.json,['bpf_cpu_time_us'],[],AbsPower,48.199729594106536,48.199729594106536,0.0,0.0,12.394511081977198,BPFOnly,477.3310000002384,95.46620000004768
35,1,SVRRegressorTrainer_1,scikit,SVRRegressorTrainer_1.json,"['kubelet_cpu_usage', 'kubelet_memory_bytes']",[],AbsPower,84.24061202001938,84.24061202001938,0.0,0.0,11.63747385620924,KubeletOnly,477.3310000002384,95.46620000004768
36,4,GradientBoostingRegressorTrainer_1,scikit,GradientBoostingRegressorTrainer_1.json,"['kubelet_cpu_usage', 'kubelet_memory_bytes']",[],AbsPower,84.45739955342243,84.45739955342243,0.0,0.0,14.276822036229149,KubeletOnly,477.3310000002384,95.46620000004768
37,2,KNeighborsRegressorTrainer_1,scikit,KNeighborsRegressorTrainer_1.json,"['kubelet_cpu_usage', 'kubelet_memory_bytes']",[],AbsPower,87.85482459970014,87.85482459970014,0.0,0.0,14.770190684227853,KubeletOnly,477.3310000002384,95.46620000004768
38,0,SGDRegressorTrainer_1,scikit,SGDRegressorTrainer_1.json,"['kubelet_cpu_usage', 'kubelet_memory_bytes']",[],AbsPower,90.66953940537586,90.66953940537586,0.0,0.0,11.736899091428391,KubeletOnly,477.3310000002384,95.46620000004768
39,4,GradientBoostingRegressorTrainer_1,scikit,GradientBoostingRegressorTrainer_1.json,"['cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us']",[],AbsPower,91.83114768756803,91.83114768756803,0.0,0.0,12.551469793461262,CgroupOnly,477.3310000002384,95.46620000004768
40,3,LinearRegressionTrainer_1,scikit,LinearRegressionTrainer_1.json,"['kubelet_cpu_usage', 'kubelet_memory_bytes']",[],AbsPower,92.38758993702798,92.38758993702798,0.0,0.0,13.469327638006677,KubeletOnly,477.3310000002384,95.46620000004768
41,2,KNeighborsRegressorTrainer_1,scikit,KNeighborsRegressorTrainer_1.json,"['cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us']",[],AbsPower,93.20745778749688,93.20745778749688,0.0,0.0,12.473695050782691,CgroupOnly,477.3310000002384,95.46620000004768
42,5,PolynomialRegressionTrainer_1,scikit,PolynomialRegressionTrainer_1.json,"['kubelet_cpu_usage', 'kubelet_memory_bytes']",['poly_scaler.pkl'],AbsPower,93.6426450429607,93.6426450429607,0.0,0.0,11.53683111911938,KubeletOnly,477.3310000002384,95.46620000004768
43,3,LinearRegressionTrainer_1,scikit,LinearRegressionTrainer_1.json,"['cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us']",[],AbsPower,94.54373878622182,94.54373878622182,0.0,0.0,13.26517930001766,CgroupOnly,477.3310000002384,95.46620000004768
44,1,SVRRegressorTrainer_1,scikit,SVRRegressorTrainer_1.json,"['cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us']",[],AbsPower,94.62299677223211,94.62299677223211,0.0,0.0,10.161737832561316,CgroupOnly,477.3310000002384,95.46620000004768
